#Mapping quality	mapping quality
0.0	4337025.0
1.0	2056147.0
2.0	1.1395982E7
3.0	4069893.0
4.0	6912759.0
5.0	5948927.0
6.0	3.2761906E7
7.0	3141549.0
8.0	3053746.0
9.0	2049761.0
10.0	1786431.0
11.0	1983766.0
12.0	2462907.0
13.0	1435230.0
14.0	1640122.0
15.0	1923737.0
16.0	1486106.0
17.0	2001466.0
18.0	2099575.0
19.0	1246726.0
20.0	1146854.0
21.0	1914210.0
22.0	1743642.0
23.0	3103194.0
24.0	2964581.0
25.0	1613059.0
26.0	1386860.0
27.0	1228167.0
28.0	1310082.0
29.0	1411771.0
30.0	1719191.0
31.0	1492539.0
32.0	2267739.0
33.0	2090175.0
34.0	2125453.0
35.0	2219880.0
36.0	2947696.0
37.0	2950186.0
38.0	2867214.0
39.0	2568242.0
40.0	5882887.0
41.0	1.4583173E7
42.0	6.1414639E7
