#Duplication rate	Coverage
1.0	2337830.0
2.0	1424490.0
3.0	497674.0
4.0	196344.0
5.0	63359.0
6.0	19768.0
7.0	7931.0
8.0	4180.0
9.0	2370.0
10.0	1586.0
11.0	1115.0
12.0	872.0
13.0	608.0
14.0	527.0
15.0	426.0
16.0	377.0
17.0	318.0
18.0	268.0
19.0	233.0
20.0	214.0
21.0	196.0
22.0	144.0
23.0	139.0
24.0	134.0
25.0	129.0
26.0	92.0
27.0	83.0
28.0	64.0
29.0	75.0
30.0	80.0
31.0	66.0
32.0	69.0
33.0	54.0
34.0	59.0
35.0	52.0
36.0	49.0
37.0	50.0
38.0	38.0
39.0	36.0
40.0	37.0
41.0	36.0
42.0	32.0
43.0	33.0
44.0	18.0
45.0	25.0
46.0	28.0
47.0	20.0
48.0	15.0
49.0	18.0
50.0	734.0
