#Duplication rate	Coverage
1.0	1600288.0
2.0	927331.0
3.0	362566.0
4.0	168477.0
5.0	63758.0
6.0	21886.0
7.0	9308.0
8.0	4788.0
9.0	2797.0
10.0	1965.0
11.0	1335.0
12.0	1011.0
13.0	769.0
14.0	681.0
15.0	506.0
16.0	447.0
17.0	370.0
18.0	293.0
19.0	265.0
20.0	260.0
21.0	218.0
22.0	186.0
23.0	168.0
24.0	151.0
25.0	141.0
26.0	104.0
27.0	102.0
28.0	103.0
29.0	76.0
30.0	68.0
31.0	76.0
32.0	69.0
33.0	57.0
34.0	64.0
35.0	56.0
36.0	44.0
37.0	45.0
38.0	48.0
39.0	39.0
40.0	52.0
41.0	28.0
42.0	26.0
43.0	29.0
44.0	28.0
45.0	17.0
46.0	25.0
47.0	22.0
48.0	33.0
49.0	17.0
50.0	750.0
