#Position (bp)	Coverage
510360.0	2.1574595946582753
1531079.0	1.7796445446787998
2551798.0	2.0574487199709224
3572517.0	1.8726476140837978
4593236.0	1.8748852524543973
5613955.0	2.0383220063504255
6634674.0	1.9815002953800214
7655393.0	2.5562324204800735
8676112.0	1.8891389304989914
9696831.0	2.0643115294219077
1.071755E7	2.05533746310199
1.1738269E7	2.679950113596396
1.2758988E7	2.390221010875667
1.3779707E7	2.075069632288612
1.4800426E7	1.773000208676433
1.5542849E7	2.7444492563457845
1.60532085E7	3.065247075056774
1.6841864E7	2.1417099123265073
1.7862583E7	2.0490477790655413
1.8883302E7	2.0235745587179235
1.9904021E7	2.294105429604034
2.092474E7	2.1911378155986125
2.1945459E7	2.254811559302805
2.2966178E7	1.8471753734377434
2.3986897E7	2.0532046527986645
2.5007616E7	1.8398246726082301
2.6028335E7	1.8875576921758095
2.7049054E7	2.146013741294127
2.8069773E7	2.3968614280717806
2.90063125E7	2.0486848280069454
2.9516672E7	3.149294068033191
3.0111211E7	1.9694421285388044
3.113193E7	1.9260795576451502
3.2152649E7	2.1687859244317
3.3173368E7	2.0629840338036227
3.4194087E7	2.1589585380501393
3.5214806E7	1.9040832981457188
3.6235525E7	1.9485303986699571
3.7256244E7	2.1937467608617065
3.8276963E7	1.6129884914457358
3.9297682E7	2.1747307535178635
4.0318401E7	2.343291346590002
4.08600465E7	2.18246180400179
4.1370406E7	1.7972805842944768
4.2359839E7	2.1883936715197816
4.3380558E7	2.4620223587490777
4.4401277E7	1.941186555751387
4.5421996E7	1.6852189486038762
4.6442715E7	1.9625058414705712
4.7463434E7	1.6029024638514615
4.8484153E7	2.906136752622416
4.9504872E7	2.0898435318633237
5.0525591E7	2.030176767553068
5.154631E7	1.5954390973421677
5.2132722E7	2.059998027678249
5.26430815E7	1.8289550939773018
5.3587748E7	1.8973860582589333
5.4608467E7	2.3786438775020353
5.5629186E7	2.2741077612937546
5.6649905E7	2.560920292460511
5.7670624E7	2.0357787010920734
5.8691343E7	1.8105120018340013
5.9712062E7	2.2245858066715716
6.0732781E7	2.087536334681729
6.17535E7	1.8837407748851545
6.24094815E7	1.1466467978739476
6.2919841E7	2.388532848966723
6.3794938E7	1.982160614233692
6.4815657E7	1.9705609477241042
6.5836376E7	1.9290901805492011
6.6857095E7	2.5285734859447113
6.7877814E7	1.7805233369810889
6.8898533E7	2.163242772986493
6.9919252E7	2.243874171050015
7.0939971E7	1.7606961367428253
7.1904594E7	2.110179444309305
7.24149535E7	2.1465077723901884
7.2981409E7	2.838471704749299
7.4002128E7	3.592831131780637
7.5022847E7	1.93579427834693
7.6043566E7	2.5042053689605073
7.7064285E7	1.6556593930356935
7.8085004E7	2.1434851315592245
7.9105723E7	1.9801982720023827
7.9997623E7	2.125050944788299
8.05079825E7	2.623696814910844
8.1147161E7	2.07390868593609
8.216788E7	1.7474202008584145
8.3188599E7	1.8883806414889897
8.4209318E7	1.4402465321013913
8.5230037E7	2.0629742367879897
8.6250756E7	1.6844645784001278
8.7271475E7	1.6402751393870398
8.78641845E7	1.7431936854887675
8.8374544E7	2.07384065073322
8.9312913E7	2.0061868153723013
9.0333632E7	1.9947654545472358
9.1354351E7	2.19205775536656
9.237507E7	2.154590048779341
9.3395789E7	1.7672620966201276
9.4416508E7	2.1817522746221045
9.5112036E7	2.9597474732473397
9.56223955E7	2.0627784901796176
9.6457946E7	2.4609358697153674
9.7478665E7	2.1817522746221045
9.8499384E7	2.1722893372220953
9.9520103E7	2.3823295147832066
1.00540822E8	2.4014072433255382
1.01386574E8	2.52764745782926
1.018969335E8	1.9196334165871278
1.0258226E8	1.7545543876424363
1.03602979E8	1.7241082021594583
1.04623698E8	1.7470459548612303
1.05644417E8	2.0000137158218863
1.06665136E8	1.6371058048297327
1.076372215E8	2.0417921018092984
1.08147581E8	2.460413089742667
1.08706574E8	2.618804979627106
1.09727293E8	1.757908885795209
1.10748012E8	2.2303729038060425
1.11768731E8	1.8091776483047735
1.1278945E8	1.9567471556814364
1.13638349E8	2.743232325917655
1.141487085E8	0.7703032243045047
1.14830888E8	1.4179563621329672
1.15851607E8	2.566367433152513
1.16872326E8	3.881056392601686
1.17893045E8	1.3277542594974718
1.18913764E8	1.1007838592208041
1.196339415E8	1.2759439132962853
1.20144301E8	2.406438045993648
1.20955202E8	1.8745345192947325
1.21975921E8	2.4425184600267067
1.2299664E8	1.9976144266933407
1.24017359E8	2.1215937001270673
1.246429705E8	2.1636978100163122
1.2515333E8	1.1268313054042254
1.26058797E8	1.7583615079174582
1.27079516E8	1.693646341451467
1.28100235E8	1.9152372004440008
1.290844785E8	2.0226880417992588
1.29594838E8	1.4013927156584556
1.30141673E8	3.9634414564635323
1.31162392E8	2.086276438471313
1.32183111E8	1.9161522417041321
1.3320383E8	3.409766057063697
1.33904959E8	4.633767452344321
1.344153185E8	1.9043790481554492
1.35245268E8	1.8550306205723612
1.36265987E8	1.856876378317637
1.37286706E8	2.2889835498310505
1.379154055E8	1.9872612810545884
1.38425765E8	2.225976003744712
1.39328144E8	1.5103510368671496
1.40348863E8	2.180383631538161
1.413579265E8	2.0747748163239117
1.41868286E8	2.4735103599159194
1.42390301E8	2.543841155107331
1.4341102E8	1.6809033632174968
1.44431739E8	2.1385523341879598
1.452602935E8	2.4484907053850624
1.45770653E8	2.006098941271671
1.46473177E8	2.306322308098507
1.47493896E8	2.0109471852684235
1.48514615E8	1.868739584547755
1.491610745E8	3.328626010286554
1.49671434E8	2.411248077871103
1.50556053E8	2.494336835113288
1.51576772E8	2.120606160951251
1.524486985E8	1.8729101383699287
1.52959058E8	1.8076885595712149
1.5361821E8	2.543686362260328
1.54638929E8	1.9509345863063194
1.55659648E8	2.210713232535105
1.562379865E8	2.6764074199385104
1.56748346E8	2.064016158035899
1.57701086E8	5.221287151507908
1.58721805E8	1.8676432984984115
1.59504311E8	1.8775071514790747
1.600146705E8	2.6450487588838563
1.60763243E8	1.9526422061311683
1.61783962E8	2.3291709079580176
