#Position (bp)	insert size
510360.0	250.78028822667318
1531079.0	272.5202391904324
2551798.0	255.8033363742995
3572517.0	262.9590483056958
4593236.0	269.0878556761514
5613955.0	268.3192488262911
6634674.0	269.1594162995595
7655393.0	266.0314270443613
8676112.0	263.7787913340935
9696831.0	249.44259545923632
1.071755E7	257.7672481124707
1.1738269E7	251.376414055461
1.2758988E7	253.35352862849533
1.3779707E7	266.9769784172662
1.4800426E7	261.1947384336256
1.5542849E7	260.02704987320374
1.60532085E7	230.7405623737766
1.6841864E7	253.65838041431263
1.7862583E7	249.48139958376692
1.8883302E7	259.2264478249266
1.9904021E7	261.2650076659983
2.092474E7	265.17281335659106
2.1945459E7	271.7648279228704
2.2966178E7	253.00855196405277
2.3986897E7	269.50732356857526
2.5007616E7	270.36576980568015
2.6028335E7	265.3993674525589
2.7049054E7	269.8937007874016
2.8069773E7	241.20831954099083
2.90063125E7	267.9921837613654
2.9516672E7	254.48846539618856
3.0111211E7	260.2982600356213
3.113193E7	261.6832087974059
3.2152649E7	268.7507261017805
3.3173368E7	270.0637846439464
3.4194087E7	266.7571608040201
3.5214806E7	269.67544738725843
3.6235525E7	272.4069751089861
3.7256244E7	271.18296764596505
3.8276963E7	273.60643522438613
3.9297682E7	267.50424681488886
4.0318401E7	261.83917858790954
4.08600465E7	262.51234567901236
4.1370406E7	272.82685109845403
4.2359839E7	271.14735785113595
4.3380558E7	252.7115900075051
4.4401277E7	273.9546292357862
4.5421996E7	271.4796100731113
4.6442715E7	272.55340211935305
4.7463434E7	263.1301323379708
4.8484153E7	253.7890303085798
4.9504872E7	269.45866631730644
5.0525591E7	265.3347674105942
5.154631E7	281.07810609987905
5.2132722E7	268.50223015165034
5.26430815E7	275.21750570075426
5.3587748E7	267.84159279174537
5.4608467E7	269.5297967619704
5.5629186E7	267.5024536205865
5.6649905E7	251.13583236811624
5.7670624E7	268.28034643570953
5.8691343E7	259.88111260655
5.9712062E7	235.7387693027609
6.0732781E7	267.35168436230174
6.17535E7	270.9810246679317
6.24094815E7	272.4583333333333
6.2919841E7	257.65460170146946
6.3794938E7	268.0189170664839
6.4815657E7	268.4968170495433
6.5836376E7	255.08724559023065
6.6857095E7	258.8583799767663
6.7877814E7	264.0498084291188
6.8898533E7	260.2453466583385
6.9919252E7	278.68340341330696
7.0939971E7	298.73933953190124
7.1904594E7	249.92219679633868
7.24149535E7	266.0597701149425
7.2981409E7	272.2448841043546
7.4002128E7	284.4779480763215
7.5022847E7	267.93543373834416
7.6043566E7	257.7951768488746
7.7064285E7	269.0029990003332
7.8085004E7	266.54828897338405
7.9105723E7	282.31105470953185
7.9997623E7	273.81297577854673
8.05079825E7	264.4040733197556
8.1147161E7	264.33137485311397
8.216788E7	270.0216950210707
8.3188599E7	273.86598236229577
8.4209318E7	255.04540379605507
8.5230037E7	280.64866693733927
8.6250756E7	294.3868319651533
8.7271475E7	302.0362729929517
8.78641845E7	262.9674952198853
8.8374544E7	283.7180842543649
8.9312913E7	263.62280701754383
9.0333632E7	270.9953373560066
9.1354351E7	265.5493339911199
9.237507E7	266.1246697697824
9.3395789E7	274.8787973204549
9.4416508E7	256.9389538461538
9.5112036E7	261.6549851924975
9.56223955E7	275.09509844993715
9.6457946E7	239.0591836734694
9.7478665E7	246.97970149253732
9.8499384E7	260.26237439523635
9.9520103E7	250.7438596491228
1.00540822E8	251.9453116351157
1.01386574E8	268.0391178364456
1.018969335E8	241.4700956937799
1.0258226E8	272.06233442418574
1.03602979E8	272.06124401913877
1.04623698E8	267.22984935549
1.05644417E8	266.38027785344593
1.06665136E8	271.31131131131133
1.076372215E8	259.69896092492314
1.08147581E8	241.08450704225353
1.08706574E8	261.7371588668673
1.09727293E8	257.65779350669334
1.10748012E8	257.0974854010249
1.11768731E8	256.42328427801255
1.1278945E8	272.5600560616678
1.13638349E8	251.55943653873797
1.141487085E8	292.4273594909862
1.14830888E8	285.8493552168816
1.15851607E8	277.7898463884955
1.16872326E8	280.34981289579736
1.17893045E8	278.0348424786146
1.18913764E8	280.24817701785264
1.196339415E8	282.29652996845425
1.20144301E8	260.59697256386
1.20955202E8	272.0530292023827
1.21975921E8	262.6943279629221
1.2299664E8	262.8847411444142
1.24017359E8	267.1159569009749
1.246429705E8	273.54949381327333
1.2515333E8	283.49744572158363
1.26058797E8	275.32804399057346
1.27079516E8	290.00281270681666
1.28100235E8	297.82512533176055
1.290844785E8	278.720059435364
1.29594838E8	270.1081081081081
1.30141673E8	223.3059294766564
1.31162392E8	263.8367639395519
1.32183111E8	269.619744583154
1.3320383E8	277.6236899829393
1.33904959E8	284.38588007736945
1.344153185E8	274.67948422749254
1.35245268E8	267.9898394934472
1.36265987E8	283.07833756914334
1.37286706E8	277.2991867945139
1.379154055E8	284.5829297820823
1.38425765E8	264.67208413001913
1.39328144E8	269.49269348728126
1.40348863E8	259.07911353225205
1.413579265E8	258.18715083798884
1.41868286E8	283.6421568627451
1.42390301E8	245.00474183350894
1.4341102E8	266.97301664243014
1.44431739E8	269.75
1.452602935E8	271.3233759222602
1.45770653E8	268.5631103074141
1.46473177E8	270.76469194312796
1.47493896E8	261.6617923262678
1.48514615E8	269.59734384121424
1.491610745E8	258.5255009107468
1.49671434E8	257.81025015253203
1.50556053E8	262.4177758694719
1.51576772E8	272.29835470915924
1.524486985E8	268.10784716516025
1.52959058E8	285.20314960629923
1.5361821E8	261.16885022534325
1.54638929E8	238.90826424177587
1.55659648E8	285.07788787156653
1.562379865E8	278.52421875
1.56748346E8	278.067398361416
1.57701086E8	265.8765284974093
1.58721805E8	266.6222672650934
1.59504311E8	263.48996746203903
1.600146705E8	262.5096341199394
1.60763243E8	268.2782742250768
1.61783962E8	256.81432391582376
1.62676022E8	253.85005111893673
1.631863815E8	254.63336688475087
1.638254E8	264.4187291938052
1.64846119E8	266.46389287422284
1.65790573E8	261.8678123788603
1.663009325E8	285.24160346695555
1.66887557E8	260.88502585542966
1.67908276E8	258.2793219303604
1.687668165E8	260.3397169025812
1.69277176E8	285.66336633663366
1.69949714E8	274.9053275737941
1.70970433E8	282.6789731756562
1.71720922E8	302.2840490797546
1.722312815E8	279.41822721598004
1.73011871E8	239.91057851239668
1.73949528E8	284.9684542586751
1.744598875E8	250.7139403706688
1.75053309E8	267.13536977491964
1.76074028E8	272.02028123309896
1.76602689E8	311.9811320754717
1.771130485E8	255.08635666836994
1.78115466E8	263.5834823024669
1.787021015E8	297.22828282828283
1.79212461E8	261.8878088294856
1.80156904E8	263.86860512961186
1.80794673E8	299.8256972111554
1.813050325E8	258.00416956219595
1.82198342E8	259.3564645726808
1.827149935E8	189.97101449275362
1.83225353E8	272.8205499276411
1.84101867E8	238.29370239643322
1.846122265E8	284.8915422885572
1.85260499E8	290.19415971394517
1.85946661E8	270.795733911786
1.864570205E8	262.89268965517243
1.87214185E8	282.71173969914975
1.877245445E8	281.3488824101069
1.88322656E8	256.74338015196867
1.88970029E8	272.99000951474784
