#Coverage (X)	Coverage
1.0	39.99089695449776
2.0	35.456504287980536
3.0	27.966439945237212
4.0	21.001929243325847
5.0	14.522028977744881
6.0	11.51930002349765
7.0	8.013018345056793
8.0	6.322764436888235
9.0	4.456552670550053
10.0	3.4813343088745796
11.0	2.533557147497916
12.0	1.9897222725394244
13.0	1.492440863991689
14.0	1.196417375799669
15.0	0.9326890200865137
16.0	0.7679600131999109
17.0	0.6248052628518366
18.0	0.5315430473074372
19.0	0.45055257552878913
20.0	0.39619015161996174
21.0	0.34880393874577464
22.0	0.3143233366512703
23.0	0.2847520198840954
24.0	0.2619695461973066
25.0	0.24289426382534884
26.0	0.22758838382755187
27.0	0.21392570854244752
28.0	0.20296970418890226
29.0	0.193148439354502
30.0	0.1848462020395658
31.0	0.17734487088209505
32.0	0.17086806280006783
33.0	0.1648382436285658
34.0	0.15958557284778863
35.0	0.15452957718763116
36.0	0.15013879899649396
37.0	0.14591138606745346
38.0	0.14205821919608752
39.0	0.13847251089474355
40.0	0.13523141267400263
41.0	0.1320961222392043
42.0	0.12926306978553725
43.0	0.1265005558558272
44.0	0.12390238688993804
45.0	0.12135271315926843
46.0	0.11897693648420216
47.0	0.11661487563323192
48.0	0.11448182005970864
49.0	0.11231961835996174
50.0	0.11038495238507551
51.0	0.10847134999720254
