#Mapping quality	mapping quality
0.0	4183643.0
1.0	1960869.0
2.0	1.0550718E7
3.0	3329341.0
4.0	5429088.0
5.0	4494455.0
6.0	2.6455818E7
7.0	2332711.0
8.0	2236227.0
9.0	1410957.0
10.0	1237191.0
11.0	1437005.0
12.0	1789985.0
13.0	1017640.0
14.0	1133130.0
15.0	1419189.0
16.0	1048928.0
17.0	1480935.0
18.0	1544525.0
19.0	907422.0
20.0	804022.0
21.0	1382160.0
22.0	1292307.0
23.0	2389376.0
24.0	2179381.0
25.0	1125085.0
26.0	970987.0
27.0	811550.0
28.0	885115.0
29.0	982936.0
30.0	1193241.0
31.0	1059531.0
32.0	1589131.0
33.0	1461406.0
34.0	1463255.0
35.0	1606665.0
36.0	2199459.0
37.0	2194567.0
38.0	1882114.0
39.0	1553154.0
40.0	4058767.0
41.0	1.0058062E7
42.0	4.4735799E7
