#GC Content (%)	Sample
1.0	1.1849338036730579E-6
2.0	0.0
3.0	0.0
4.0	1.1849338036730579E-6
5.0	7.109602822038347E-6
6.0	7.109602822038347E-6
7.0	1.540413944774975E-5
8.0	3.673294791386479E-5
9.0	9.83495057048638E-5
10.0	2.5239090018236134E-4
11.0	6.114258426952977E-4
12.0	0.0014859069898060144
13.0	0.0035559863448228466
14.0	0.007580021542096551
15.0	0.015039179836218448
16.0	0.026515263724792022
17.0	0.04231398612916489
18.0	0.059764506255858024
19.0	0.07422306852827668
20.0	0.08242281044969423
21.0	0.08313258579809439
22.0	0.07746623234892984
23.0	0.06801046059561883
24.0	0.05716831629201035
25.0	0.05108486614395286
26.0	0.03429435414590564
27.0	0.03133320457052667
28.0	0.025771125296085332
29.0	0.021617932314211264
30.0	0.01848852213871072
31.0	0.01588759243964836
32.0	0.013967999677698007
33.0	0.011816159890227731
34.0	0.010523397110420428
35.0	0.009028010650185027
36.0	0.00814997470166329
37.0	0.007367918391239074
38.0	0.006616670359710354
39.0	0.005776552292906157
40.0	0.005391448806712414
41.0	0.004835714852789748
42.0	0.004650865179416752
43.0	0.0043190837143882955
44.0	0.004450611366596005
45.0	0.004577399283589021
46.0	0.005046633069843554
47.0	0.006435375487748377
48.0	0.009073038134724603
49.0	0.012279469007463899
50.0	0.014040280639722062
51.0	0.01404383544113308
52.0	0.009262627543312293
53.0	0.00792483727896541
54.0	0.0060289431930885175
55.0	0.0045406663356751574
56.0	0.0033462530615727152
57.0	0.002554717280719112
58.0	0.001783325374527952
59.0	0.0012631394347154795
60.0	8.401180668041979E-4
61.0	6.37494386376105E-4
62.0	4.253912355186278E-4
63.0	2.9386358331091834E-4
64.0	1.9788394521340068E-4
65.0	1.1612351275995967E-4
66.0	7.702069723874877E-5
67.0	3.791788171753785E-5
68.0	2.3698676073461157E-5
69.0	2.2513742269788104E-5
70.0	1.658907325142281E-5
71.0	7.109602822038348E-6
72.0	5.924669018365289E-6
73.0	2.3698676073461157E-6
74.0	5.924669018365289E-6
75.0	2.3698676073461157E-6
76.0	0.0
77.0	2.3698676073461157E-6
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	3.5548014110191734E-6
