#Insert size (bp)	insert size
29.0	12.0
30.0	20.0
31.0	64.0
32.0	162.0
33.0	260.0
34.0	466.0
35.0	714.0
36.0	1062.0
37.0	1491.0
38.0	2031.0
39.0	2367.0
40.0	3726.0
41.0	4006.0
42.0	4153.0
43.0	4196.0
44.0	4275.0
45.0	3946.0
46.0	3901.0
47.0	3893.0
48.0	3909.0
49.0	3658.0
50.0	3741.0
51.0	3628.0
52.0	3583.0
53.0	3582.0
54.0	3523.0
55.0	3559.0
56.0	3618.0
57.0	3578.0
58.0	3719.0
59.0	3618.0
60.0	3796.0
61.0	3773.0
62.0	3859.0
63.0	3877.0
64.0	3970.0
65.0	3929.0
66.0	4015.0
67.0	3959.0
68.0	3988.0
69.0	3933.0
70.0	3951.0
71.0	4095.0
72.0	4131.0
73.0	4147.0
74.0	4256.0
75.0	4200.0
76.0	4301.0
77.0	4239.0
78.0	4487.0
79.0	4271.0
80.0	4294.0
81.0	4360.0
82.0	4566.0
83.0	4425.0
84.0	4637.0
85.0	4423.0
86.0	4390.0
87.0	4390.0
88.0	4354.0
89.0	4359.0
90.0	4456.0
91.0	4260.0
92.0	4342.0
93.0	4510.0
94.0	4477.0
95.0	4507.0
96.0	4534.0
97.0	4202.0
98.0	4430.0
99.0	4483.0
100.0	4538.0
101.0	4513.0
102.0	4659.0
103.0	4697.0
104.0	4423.0
105.0	4405.0
106.0	4383.0
107.0	4744.0
108.0	4518.0
109.0	4606.0
110.0	4465.0
111.0	4652.0
112.0	4639.0
113.0	4830.0
114.0	4860.0
115.0	4725.0
116.0	4846.0
117.0	4971.0
118.0	4812.0
119.0	4940.0
120.0	4980.0
121.0	4891.0
122.0	5156.0
123.0	5183.0
124.0	5332.0
125.0	5267.0
126.0	5512.0
127.0	5504.0
128.0	5764.0
129.0	5899.0
130.0	5829.0
131.0	6014.0
132.0	6325.0
133.0	6451.0
134.0	6590.0
135.0	6624.0
136.0	7002.0
137.0	6872.0
138.0	7290.0
139.0	7501.0
140.0	7461.0
141.0	7752.0
142.0	7870.0
143.0	8268.0
144.0	8645.0
145.0	8620.0
146.0	9240.0
147.0	9783.0
148.0	9533.0
149.0	7185.0
150.0	8615.0
151.0	17002.0
152.0	13508.0
153.0	10408.0
154.0	10217.0
155.0	9632.0
156.0	9671.0
157.0	9430.0
158.0	9324.0
159.0	9315.0
160.0	9356.0
161.0	9193.0
162.0	9173.0
163.0	9168.0
164.0	9175.0
165.0	8833.0
166.0	8939.0
167.0	8984.0
168.0	9113.0
169.0	8758.0
170.0	8859.0
171.0	8729.0
172.0	8730.0
173.0	8608.0
174.0	8806.0
175.0	8740.0
176.0	8843.0
177.0	8621.0
178.0	8686.0
179.0	8570.0
180.0	8829.0
181.0	8615.0
182.0	8642.0
183.0	8505.0
184.0	8530.0
185.0	8475.0
186.0	8498.0
187.0	8602.0
188.0	8645.0
189.0	8535.0
190.0	8676.0
191.0	8647.0
192.0	8760.0
193.0	8517.0
194.0	8343.0
195.0	8512.0
196.0	8605.0
197.0	8425.0
198.0	8470.0
199.0	8304.0
200.0	8461.0
201.0	8543.0
202.0	8649.0
203.0	8464.0
204.0	8608.0
205.0	8551.0
206.0	8493.0
207.0	8604.0
208.0	8592.0
209.0	8612.0
210.0	8659.0
211.0	8615.0
212.0	8587.0
213.0	8513.0
214.0	8642.0
215.0	8574.0
216.0	8420.0
217.0	8468.0
218.0	8557.0
219.0	8547.0
220.0	8578.0
221.0	8606.0
222.0	8667.0
223.0	8530.0
224.0	8448.0
225.0	8670.0
226.0	8657.0
227.0	8582.0
228.0	8489.0
229.0	8530.0
230.0	8705.0
231.0	8501.0
232.0	8511.0
233.0	8532.0
234.0	8489.0
235.0	8379.0
236.0	8373.0
237.0	8397.0
238.0	8390.0
239.0	8424.0
240.0	8379.0
241.0	8465.0
242.0	8597.0
243.0	8489.0
244.0	8415.0
245.0	8490.0
246.0	8440.0
247.0	8450.0
248.0	8426.0
249.0	8308.0
250.0	8377.0
251.0	8406.0
252.0	8391.0
253.0	8442.0
254.0	8387.0
255.0	8480.0
256.0	8347.0
257.0	8280.0
258.0	8229.0
259.0	8325.0
260.0	8456.0
261.0	8376.0
262.0	8187.0
263.0	8176.0
264.0	8374.0
265.0	8363.0
266.0	8340.0
267.0	8291.0
268.0	8172.0
269.0	8196.0
270.0	8265.0
271.0	8286.0
272.0	8336.0
273.0	8215.0
274.0	8232.0
275.0	8342.0
276.0	8429.0
277.0	8385.0
278.0	8226.0
279.0	8063.0
280.0	8178.0
281.0	8155.0
282.0	8064.0
283.0	8006.0
284.0	8026.0
285.0	8134.0
286.0	8147.0
287.0	8108.0
288.0	8221.0
289.0	8219.0
290.0	8225.0
291.0	8118.0
292.0	8069.0
293.0	8086.0
294.0	8070.0
295.0	8139.0
296.0	7922.0
297.0	7960.0
298.0	8035.0
299.0	7894.0
300.0	7879.0
301.0	7761.0
302.0	7706.0
303.0	7591.0
304.0	7605.0
305.0	7537.0
306.0	7558.0
307.0	7535.0
