#Mapping quality	mapping quality
0.0	4579277.0
1.0	2073159.0
2.0	1.1118172E7
3.0	3815112.0
4.0	6309395.0
5.0	5118088.0
6.0	3.0355444E7
7.0	2895425.0
8.0	2797538.0
9.0	1921598.0
10.0	1599838.0
11.0	1836671.0
12.0	2339757.0
13.0	1298200.0
14.0	1548361.0
15.0	1807854.0
16.0	1401927.0
17.0	1854680.0
18.0	1944764.0
19.0	1124553.0
20.0	1027846.0
21.0	1945827.0
22.0	1675291.0
23.0	2911462.0
24.0	2844739.0
25.0	1530615.0
26.0	1261201.0
27.0	1117532.0
28.0	1260004.0
29.0	1297379.0
30.0	1631300.0
31.0	1437030.0
32.0	2184536.0
33.0	1981915.0
34.0	1903224.0
35.0	2051716.0
36.0	2670321.0
37.0	2512757.0
38.0	2342173.0
39.0	1944700.0
40.0	5203657.0
41.0	1.2304076E7
42.0	5.6948908E7
