#Duplication rate	Coverage
1.0	2126308.0
2.0	1254207.0
3.0	429542.0
4.0	180982.0
5.0	61787.0
6.0	19415.0
7.0	8093.0
8.0	4370.0
9.0	2482.0
10.0	1707.0
11.0	1131.0
12.0	856.0
13.0	708.0
14.0	530.0
15.0	457.0
16.0	349.0
17.0	286.0
18.0	259.0
19.0	220.0
20.0	167.0
21.0	147.0
22.0	142.0
23.0	124.0
24.0	110.0
25.0	100.0
26.0	92.0
27.0	67.0
28.0	61.0
29.0	73.0
30.0	72.0
31.0	41.0
32.0	54.0
33.0	55.0
34.0	45.0
35.0	40.0
36.0	36.0
37.0	28.0
38.0	44.0
39.0	34.0
40.0	26.0
41.0	28.0
42.0	15.0
43.0	19.0
44.0	26.0
45.0	18.0
46.0	15.0
47.0	25.0
48.0	21.0
49.0	20.0
50.0	525.0
