#Position (bp)	insert size
510360.0	234.04842812086682
1531079.0	250.1346253229974
2551798.0	245.10763293310464
3572517.0	249.5146466905188
4593236.0	251.42310376919497
5613955.0	254.1334122967589
6634674.0	247.3819041478616
7655393.0	248.64852173913044
8676112.0	244.93909282207156
9696831.0	237.08778317152104
1.071755E7	243.3748912097476
1.1738269E7	242.70195246179966
1.2758988E7	242.41943419434193
1.3779707E7	252.12286976646328
1.4800426E7	235.0080783353733
1.5542849E7	246.69562769750422
1.60532085E7	225.31360553265063
1.6841864E7	238.44323873121868
1.7862583E7	242.17506019261637
1.8883302E7	243.68976649090715
1.9904021E7	245.55040998881847
2.092474E7	249.15999587373634
2.1945459E7	251.50858942546287
2.2966178E7	243.60436512721571
2.3986897E7	250.67211317030376
2.5007616E7	249.57412630288167
2.6028335E7	244.4245672808487
2.7049054E7	249.14477130767682
2.8069773E7	237.37888142364264
2.90063125E7	251.83896982310094
2.9516672E7	245.1574651944311
3.0111211E7	247.25231033741673
3.113193E7	248.83515066244578
3.2152649E7	251.79677419354837
3.3173368E7	250.8381149776372
3.4194087E7	245.91484233781884
3.5214806E7	249.3054010199351
3.6235525E7	249.14289136423523
3.7256244E7	253.6191634241245
3.8276963E7	253.71047566675833
3.9297682E7	249.43437168482978
4.0318401E7	249.10142095914742
4.08600465E7	247.37226277372264
4.1370406E7	257.97249809014517
4.2359839E7	252.97942973523422
4.3380558E7	238.9126685625172
4.4401277E7	255.252859788648
4.5421996E7	256.32896744659206
4.6442715E7	249.14641891097259
4.7463434E7	251.06749366413231
4.8484153E7	243.03605709039311
4.9504872E7	247.7061011904762
5.0525591E7	249.90761520862839
5.154631E7	252.42358620689654
5.2132722E7	254.49525893508388
5.26430815E7	254.43051440883383
5.3587748E7	250.87888164438058
5.4608467E7	254.9433249370277
5.5629186E7	250.38180272108843
5.6649905E7	240.74253835425384
5.7670624E7	249.13898154325105
5.8691343E7	251.686907254588
5.9712062E7	233.58864513699274
6.0732781E7	248.1412869490983
6.17535E7	249.6168770453483
6.24094815E7	245.01660280970626
6.2919841E7	240.25428937259923
6.3794938E7	247.51617565314064
6.4815657E7	249.4976520572451
6.5836376E7	244.41813156440023
6.6857095E7	245.86270438619258
6.7877814E7	245.8312818600025
6.8898533E7	243.73400573519234
6.9919252E7	262.3117727225076
7.0939971E7	274.8856227361382
7.1904594E7	237.98356947255627
7.24149535E7	241.19056603773586
7.2981409E7	255.50702746365104
7.4002128E7	264.6546337212921
7.5022847E7	247.997458703939
7.6043566E7	246.1647627008452
7.7064285E7	251.40829469345698
7.8085004E7	250.79320762579437
7.9105723E7	260.67389036968365
7.9997623E7	254.46014441455472
8.05079825E7	257.339110529758
8.1147161E7	245.9513116700853
8.216788E7	250.90891496310633
8.3188599E7	260.7460430798524
8.4209318E7	250.28342939481269
8.5230037E7	265.88525286867826
8.6250756E7	269.0486820871436
8.7271475E7	271.6947308132875
8.78641845E7	252.29696024941543
8.8374544E7	265.0155651636813
8.9312913E7	249.5293681085666
9.0333632E7	252.1664084974552
9.1354351E7	244.98011060444358
9.237507E7	251.24435297660878
9.3395789E7	253.40655426264544
9.4416508E7	239.34833180287725
9.5112036E7	252.07421716144773
9.56223955E7	257.77091025846846
9.6457946E7	232.99331265749177
9.7478665E7	238.59672575801608
9.8499384E7	243.86725572793588
9.9520103E7	240.48068965517243
1.00540822E8	239.64186256781193
1.01386574E8	253.89254471863168
1.018969335E8	229.66804046459347
1.0258226E8	247.38500874714035
1.03602979E8	252.72039102644442
1.04623698E8	245.43338567459838
1.05644417E8	242.9019567667247
1.06665136E8	248.8231458842706
1.076372215E8	247.1318884021213
1.08147581E8	233.40721196130167
1.08706574E8	250.05789243550504
1.09727293E8	244.7409420289855
1.10748012E8	242.2628604832424
1.11768731E8	247.93200144421712
1.1278945E8	259.27049363413
1.13638349E8	239.93344586448035
1.141487085E8	271.7030603804797
1.14830888E8	267.2279930958732
1.15851607E8	261.9270869414617
1.16872326E8	268.15442020665904
1.17893045E8	264.17947404371586
1.18913764E8	262.7164330692667
1.196339415E8	268.8519778817524
1.20144301E8	240.299952614121
1.20955202E8	250.12601260126013
1.21975921E8	246.8544584293565
1.2299664E8	244.32546583850933
1.24017359E8	246.91253354537324
1.246429705E8	253.50549976087996
1.2515333E8	263.9549180327869
1.26058797E8	258.57497700091994
1.27079516E8	270.67500337974855
1.28100235E8	277.945933071335
1.290844785E8	258.88124618204034
1.29594838E8	256.0487804878049
1.30141673E8	221.43274505127593
1.31162392E8	250.88527249134947
1.32183111E8	259.29996528179606
1.3320383E8	259.6180228648285
1.33904959E8	263.623746701847
1.344153185E8	253.39415807560138
1.35245268E8	252.7022271714922
1.36265987E8	265.96084265651035
1.37286706E8	264.4344449975112
1.379154055E8	263.2912142152024
1.38425765E8	247.4052682123748
1.39328144E8	249.7387448840382
1.40348863E8	242.2982689747004
1.413579265E8	240.21562005277045
1.41868286E8	252.43859649122808
1.42390301E8	240.4042412740325
1.4341102E8	250.95368721054507
1.44431739E8	253.18505301794454
1.452602935E8	258.0168103448276
1.45770653E8	256.6825396825397
1.46473177E8	250.8124715934915
1.47493896E8	244.6006843111603
1.48514615E8	249.84700615556798
1.491610745E8	247.39884868421052
1.49671434E8	247.27997565429092
1.50556053E8	244.2310886441596
1.51576772E8	250.9421232146664
1.524486985E8	248.8009900990099
1.52959058E8	263.13563402889247
1.5361821E8	251.87792338709679
1.54638929E8	227.885497150095
1.55659648E8	264.04415611593595
1.562379865E8	268.8645495787427
1.56748346E8	260.8511904761905
1.57701086E8	255.5527015478112
1.58721805E8	247.51111111111112
1.59504311E8	238.96046065259117
1.600146705E8	242.4222797927461
1.60763243E8	245.74705215419502
1.61783962E8	246.79823227523283
1.62676022E8	242.42369042930287
1.631863815E8	245.5249052517596
1.638254E8	240.90112669579213
1.64846119E8	241.86649376312215
1.65790573E8	243.11887863733145
1.663009325E8	248.15823367065317
1.66887557E8	248.2769189042582
1.67908276E8	241.4234693877551
1.687668165E8	251.28103097445174
1.69277176E8	265.00488201790074
1.69949714E8	253.92689784442362
1.70970433E8	265.57588408644403
1.71720922E8	266.8754171301446
1.722312815E8	263.642302259887
1.73011871E8	239.48348765432098
1.73949528E8	266.0636074511586
1.744598875E8	241.1494684177611
1.75053309E8	250.6213539546873
1.76074028E8	261.0826091621071
1.76602689E8	266.3090909090909
1.771130485E8	240.28541831097078
1.78115466E8	251.6200251767212
1.787021015E8	273.1279579316389
1.79212461E8	249.75690666666668
1.80156904E8	246.78419192460106
1.80794673E8	273.64068908941755
1.813050325E8	244.45352150902428
1.82198342E8	249.7029137879243
1.827149935E8	167.4375
1.83225353E8	251.56649841530697
1.84101867E8	232.99148300992186
1.846122265E8	265.3432289548597
1.85260499E8	271.6188672096988
1.85946661E8	262.3910063065533
1.864570205E8	251.72474077646493
1.87214185E8	264.6141581632653
1.877245445E8	248.26656394453005
1.88322656E8	242.77623947614592
1.88970029E8	261.16672869371047
1.894803885E8	209.30757671622905
1.90149192E8	250.07191601049868
1.906595515E8	250.56820349761526
1.91312477E8	249.56401596561253
1.918228365E8	280.8091286307054
1.92405532E8	241.19404400606982
1.92970815E8	245.88874083944037
1.934811745E8	242.63446854926676
1.941148915E8	253.60265266648244
1.94625251E8	249.8934169278997
1.95223345E8	256.9288902570417
1.957337045E8	254.0832
1.961788765E8	254.2479640550407
1.96689236E8	265.37394957983196
1.97131581E8	278.0755952380952
1.97615106E8	236.99722749160952
1.97992652E8	266.1978494623656
1.98305792E8	204.71713985278654
1.988161515E8	268.20439610242465
1.991212075E8	264.1030776746458
1.994436275E8	258.2623131046614
1.99872985E8	248.52508361204013
2.000851115E8	264.4845360824742
2.00263134E8	278.0997536945813
2.005261155E8	272.6294088425236
2.00738718E8	244.10228310502282
2.00938567E8	277.3797125033903
2.010583015E8	268.09646302250803
2.0114868E8	271.4108761329305
2.01286268E8	219.18892900120338
2.01415191E8	288.91471801925724
2.015211975E8	266.35736040609135
2.01614299E8	304.7219730941704
2.01703287E8	287.5111111111111
2.017861025E8	314.58024691358025
2.018642115E8	264.2325581395349
2.019370895E8	275.6136363636364
2.020049135E8	284.6064690026954
2.020668635E8	206.0808823529412
2.020987075E8	234.5625
2.021249785E8	264.54926108374383
2.021737895E8	293.5480769230769
2.022239985E8	258.625
2.02271757E8	262.55702917771885
2.023186845E8	353.65384615384613
2.02364446E8	229.20430107526883
2.024089195E8	285.96321070234114
2.02452443E8	263.8636363636364
2.02494437E8	312.625
2.02534017E8	291.60526315789474
2.025722765E8	290.6666666666667
2.026094615E8	291.3880597014925
2.026450565E8	225.75757575757575
2.02679708E8	272.3157894736842
2.02712767E8	295.3333333333333
2.02743079E8	264.0093457943925
2.02771272E8	296.95652173913044
2.027983955E8	191.3921568627451
2.02824104E8	299.8196721311475
2.028484075E8	293.5098039215686
2.028692335E8	69.0
2.028819085E8	229.41935483870967
2.03004407E8	242.61771250556296
2.03633441E8	244.84966677592047
2.0465416E8	248.44189830508475
2.05674879E8	245.84318729618602
2.06695598E8	246.68294491525424
2.07716317E8	251.0981912144703
2.08737036E8	248.6099928109274
2.09757755E8	252.07186358099878
2.10778474E8	254.99476320582878
2.11799193E8	255.0386823813841
2.12819912E8	249.7852447869447
2.13840631E8	263.87212848139865
2.1486135E8	262.07238307349667
2.15882069E8	257.0565120799778
2.16902788E8	269.5104941332011
2.17923507E8	270.54782608695655
2.18944226E8	258.338891498356
2.19487071E8	268.8341463414634
2.199974305E8	251.93839019542895
2.20985664E8	253.88680859152254
2.22006383E8	252.40319018404907
2.23027102E8	251.67170005136106
2.24047821E8	251.39681335356602
2.2506854E8	246.03102400167697
2.26089259E8	234.25506718287406
2.27109978E8	254.8144352376799
2.28130697E8	247.4781152300134
2.29151416E8	252.96319663512094
2.30054359E8	251.53664562174032
