"","baseMean","log2FoldChange","lfcSE","pvalue","padj","query"
"Pocillopora_acuta_HIv2___TS.g15485.t1",36.6973413454236,-0.775708397476004,1.34428154337961,0.00255624527778899,0.0132142715146319,"Pocillopora_acuta_HIv2___TS.g15485.t1"
"Pocillopora_acuta_HIv2___RNAseq.g10385.t1",500.556338227262,1.90093426688185,0.893357101882432,0.00255842646620404,0.0132164474885448,"Pocillopora_acuta_HIv2___RNAseq.g10385.t1"
"Pocillopora_acuta_HIv2___RNAseq.g9944.t1",76.3598825630937,-0.25782773448748,1.05423747758143,0.00255849370630016,0.0132164474885448,"Pocillopora_acuta_HIv2___RNAseq.g9944.t1"
"Pocillopora_acuta_HIv2___RNAseq.g21957.t1",266.022006239229,-2.47416653094385,2.25598481768647,0.00255971414899041,0.0132180312213486,"Pocillopora_acuta_HIv2___RNAseq.g21957.t1"
"Pocillopora_acuta_HIv2___RNAseq.g8495.t1",227.007445176641,-0.137384360149444,1.01476775735208,0.00257280045180652,0.0132808657155352,"Pocillopora_acuta_HIv2___RNAseq.g8495.t1"
"Pocillopora_acuta_HIv2___RNAseq.g16480.t1",139.110732285518,-0.324666212645397,1.0751331655536,0.00257409021052396,0.0132827830199852,"Pocillopora_acuta_HIv2___RNAseq.g16480.t1"
"Pocillopora_acuta_HIv2___RNAseq.g9839.t1",3421.84144561209,1.41693788284467,0.538794650881152,0.00257749159456004,0.0132955914492569,"Pocillopora_acuta_HIv2___RNAseq.g9839.t1"
"Pocillopora_acuta_HIv2___TS.g9744.t1",42.2436684971209,-2.38099739663496,2.06252311839481,0.00259234542479346,0.0133674453562255,"Pocillopora_acuta_HIv2___TS.g9744.t1"
"Pocillopora_acuta_HIv2___RNAseq.g24672.t1",86.6084520670653,-2.42849112837845,1.55681362858112,0.00260386122406303,0.013422041605434,"Pocillopora_acuta_HIv2___RNAseq.g24672.t1"
"Pocillopora_acuta_HIv2___RNAseq.g4384.t1",197.528771818627,-0.305731061981918,1.0663991507922,0.00260828066357597,0.013440032603478,"Pocillopora_acuta_HIv2___RNAseq.g4384.t1"
"Pocillopora_acuta_HIv2___RNAseq.g879.t1",653.236404439335,-0.472255383211979,1.09495224898657,0.00261223354933157,0.0134556075703461,"Pocillopora_acuta_HIv2___RNAseq.g879.t1"
