"","query","baseMean","log2FoldChange","lfcSE","pvalue","padj","List","Standardized_Name_spA"
"175","Pocillopora_acuta_HIv2___RNAseq.g26394.t1",815.068110984066,0.633084315194796,1.00441990868757,0.190246834252231,0.409300938661946,"germline_sperm","germline"
"176","Pocillopora_acuta_HIv2___RNAseq.g13121.t1",760.843994841181,-0.514683566493901,0.996300611576456,0.19423448198678,0.414665302653258,"gastrodermis","gastrodermis"
"177","Pocillopora_acuta_HIv2___RNAseq.g15413.t1",6459.76785630047,-0.550111633500428,0.917519447980016,0.196793461403822,0.418468189612596,"immune_1","immune"
"178","Pocillopora_acuta_HIv2___TS.g21326.t1",158.487694227243,-0.380317146822037,1.08185029575606,0.208278914504517,0.434585432688017,"gastrodermis","gastrodermis"
"179","Pocillopora_acuta_HIv2___RNAseq.g17404.t1",7985.82980364357,0.564566768976341,0.550981636518559,0.219170611443427,0.450104177753475,"digestive_filaments","digestive_filaments"
"180","Pocillopora_acuta_HIv2___RNAseq.g11638.t1",1632.08431157999,-0.24599552442629,0.986327932504738,0.237174558159909,0.473759537249679,"gastrodermis","gastrodermis"
"181","Pocillopora_acuta_HIv2___RNAseq.g25601.t1",1216.63310257035,0.475965983336277,0.914722678156787,0.253779268640879,0.494698563560873,"neuron_8","neuron"
"182","Pocillopora_acuta_HIv2___RNAseq.g14915.t1",2591.86628307138,0.558561415375339,0.704291815531033,0.254026203148959,0.494979792852827,"digestive_filaments","digestive_filaments"
"183","Pocillopora_acuta_HIv2___RNAseq.g14507.t1",34573.1283617131,0.461865227576316,0.484522302836778,0.277732971282251,0.522791475354826,"gastrodermis","gastrodermis"
"184","Pocillopora_acuta_HIv2___RNAseq.g592.t1",8418.24008591177,-0.509209101874421,0.626004393486462,0.281574954229241,0.527142135383347,"digestive_filaments","digestive_filaments"
"185","Pocillopora_acuta_HIv2___RNAseq.g18738.t1",2514.57977822795,0.500993052235023,0.690840750660685,0.310148489585541,0.559350093935818,"neuron_12","neuron"
"186","Pocillopora_acuta_HIv2___RNAseq.g9557.t1",3667.88499549403,0.466708246779409,0.579322341658407,0.318699068124312,0.568112314684502,"germline_sperm","germline"
"187","Pocillopora_acuta_HIv2___RNAseq.g6439.t1",849.328724672282,0.445280968798419,0.523899602383052,0.322282112340426,0.571821451532375,"digestive_filaments","digestive_filaments"
"188","Pocillopora_acuta_HIv2___RNAseq.g5298.t1",52.0867786071553,0.46800046427316,0.819906557734226,0.326478691106126,0.576298241171468,"mitotic_host_cells","gastrodermis_symbiont_containing"
"189","Pocillopora_acuta_HIv2___RNAseq.g5298.t1",52.0867786071553,0.46800046427316,0.819906557734226,0.326478691106126,0.576298241171468,"germline_sperm","germline"
"190","Pocillopora_acuta_HIv2___RNAseq.g8376.t1",562.623431913321,-0.396350891221179,0.919622325671718,0.334661749059547,0.585526495511949,"immune_1","immune"
"191","Pocillopora_acuta_HIv2___TS.g23495.t1",74.2370138169069,0.256999250975561,1.01775088816993,0.335037306167157,0.585970930641083,"digestive_filaments","digestive_filaments"
"192","Pocillopora_acuta_HIv2___TS.g26100.t1",1898.21367725555,0.449291242884235,0.8168867393145,0.34199138123756,0.59282877974833,"neuron_9","neuron"
"193","Pocillopora_acuta_HIv2___RNAseq.g15781.t1",7848.2333936042,0.40324354434817,0.489064417016771,0.349677353851092,0.601120038870085,"alga-hosting_cells","gastrodermis_symbiont_containing"
"194","Pocillopora_acuta_HIv2___RNAseq.g20810.t1",4764.4378827596,0.432491572994131,0.642304796519525,0.368975722977254,0.618480108603894,"neuron_4","neuron"
"195","Pocillopora_acuta_HIv2___TS.g6503.t2",632.685197781921,0.129444960316574,0.970924324514315,0.396577723676682,0.642682796514857,"neuron_9","neuron"
"196","Pocillopora_acuta_HIv2___RNAseq.g29286.t1",4450.95184196494,0.327667930109014,0.931047006200698,0.406028908407812,0.651881688446064,"mitotic_host_cells","gastrodermis_symbiont_containing"
"197","Pocillopora_acuta_HIv2___RNAseq.g29286.t1",4450.95184196494,0.327667930109014,0.931047006200698,0.406028908407812,0.651881688446064,"germline_sperm","germline"
"198","Pocillopora_acuta_HIv2___RNAseq.g9558.t1",9902.07993707018,0.378807493460616,0.52684994098705,0.408152142806893,0.654128819230903,"germline_sperm","germline"
"199","Pocillopora_acuta_HIv2___RNAseq.g20485.t1",658.604132789522,-0.175621018268335,0.968922171790749,0.420184674940532,0.664503732597842,"epidermis_2","epidermis"
"200","Pocillopora_acuta_HIv2___RNAseq.g6438.t1b",31891.0931603704,0.347015605445013,0.508174089542763,0.431867722139604,0.675294961033441,"digestive_filaments","digestive_filaments"
"201","Pocillopora_acuta_HIv2___TS.g4645.t1",6639.34807038908,-0.344583982766493,0.602095627154374,0.45214495210392,0.693292122042945,"gastrodermis","gastrodermis"
"202","Pocillopora_acuta_HIv2___RNAseq.g8229.t1",1983.32623248152,0.289971989086504,0.914424839176555,0.476417873614866,0.712385829005006,"neuron_2","neuron"
"203","Pocillopora_acuta_HIv2___TS.g14655.t2",536.256738662302,0.301055294329146,0.894417936650874,0.481686034826169,0.716000201830472,"mitotic_host_cells","gastrodermis_symbiont_containing"
"204","Pocillopora_acuta_HIv2___RNAseq.g22607.t1",1279.38335061462,-0.283794466624853,0.843465768758297,0.491894093908052,0.723452392971331,"epidermis_1","epidermis"
"205","Pocillopora_acuta_HIv2___TS.g6226.t1",622.164650165222,0.159500959563228,0.983661310741564,0.4924703250962,0.723891339653601,"neuron_4","neuron"
"206","Pocillopora_acuta_HIv2___RNAseq.g10791.t1a",1722.9073107347,0.313419661012661,0.758552690032142,0.497143263569874,0.727433501696981,"neuron_12","neuron"
"207","Pocillopora_acuta_HIv2___TS.g20774.t2",6252.31038067643,0.28957286579303,0.555582235294171,0.528114579879198,0.750109454168297,"neuron_1","neuron"
"208","Pocillopora_acuta_HIv2___RNAseq.g23104.t1",636.526091210561,0.192215126007426,0.963606786439293,0.529650743281716,0.75095851919555,"neuron_10","neuron"
