#Insert size (bp)	insert size
29.0	11.0
30.0	26.0
31.0	90.0
32.0	180.0
33.0	289.0
34.0	581.0
35.0	947.0
36.0	1423.0
37.0	1961.0
38.0	2561.0
39.0	3092.0
40.0	4665.0
41.0	4987.0
42.0	4864.0
43.0	4894.0
44.0	4619.0
45.0	4393.0
46.0	4237.0
47.0	4031.0
48.0	3867.0
49.0	3809.0
50.0	3725.0
51.0	3433.0
52.0	3546.0
53.0	3318.0
54.0	3420.0
55.0	3349.0
56.0	3431.0
57.0	3450.0
58.0	3540.0
59.0	3395.0
60.0	3779.0
61.0	3516.0
62.0	3750.0
63.0	3678.0
64.0	3744.0
65.0	3816.0
66.0	3787.0
67.0	3783.0
68.0	3958.0
69.0	3919.0
70.0	3898.0
71.0	4050.0
72.0	4072.0
73.0	4009.0
74.0	4180.0
75.0	4237.0
76.0	4210.0
77.0	4168.0
78.0	4257.0
79.0	4214.0
80.0	4407.0
81.0	4431.0
82.0	4381.0
83.0	4355.0
84.0	4592.0
85.0	4540.0
86.0	4676.0
87.0	4584.0
88.0	4581.0
89.0	4472.0
90.0	4854.0
91.0	4561.0
92.0	4782.0
93.0	4702.0
94.0	4777.0
95.0	4695.0
96.0	4855.0
97.0	4896.0
98.0	4836.0
99.0	4834.0
100.0	4896.0
101.0	4907.0
102.0	4958.0
103.0	4957.0
104.0	5061.0
105.0	4886.0
106.0	5015.0
107.0	5178.0
108.0	5028.0
109.0	5021.0
110.0	5041.0
111.0	5235.0
112.0	5311.0
113.0	5333.0
114.0	5354.0
115.0	5445.0
116.0	5514.0
117.0	5404.0
118.0	5426.0
119.0	5747.0
120.0	5710.0
121.0	5560.0
122.0	5995.0
123.0	6084.0
124.0	6191.0
125.0	6210.0
126.0	6671.0
127.0	6505.0
128.0	6691.0
129.0	6743.0
130.0	6843.0
131.0	6966.0
132.0	7308.0
133.0	7220.0
134.0	7405.0
135.0	7705.0
136.0	7933.0
137.0	8183.0
138.0	8267.0
139.0	8551.0
140.0	9007.0
141.0	9007.0
142.0	9172.0
143.0	9278.0
144.0	9782.0
145.0	9820.0
146.0	10374.0
147.0	10618.0
148.0	10625.0
149.0	7585.0
150.0	9480.0
151.0	20825.0
152.0	16271.0
153.0	11877.0
154.0	11648.0
155.0	11444.0
156.0	11285.0
157.0	11047.0
158.0	11139.0
159.0	11260.0
160.0	11235.0
161.0	10929.0
162.0	10872.0
163.0	10720.0
164.0	11050.0
165.0	11172.0
166.0	11139.0
167.0	10636.0
168.0	10765.0
169.0	10839.0
170.0	11028.0
171.0	10915.0
172.0	10935.0
173.0	10657.0
174.0	10888.0
175.0	10748.0
176.0	10861.0
177.0	10909.0
178.0	10968.0
179.0	10895.0
180.0	11014.0
181.0	10837.0
182.0	10985.0
183.0	10918.0
184.0	11091.0
185.0	11073.0
186.0	11017.0
187.0	10841.0
188.0	11037.0
189.0	10967.0
190.0	11053.0
191.0	10867.0
192.0	10915.0
193.0	10824.0
194.0	10864.0
195.0	11166.0
196.0	11205.0
197.0	10990.0
198.0	11080.0
199.0	11039.0
200.0	11040.0
201.0	11062.0
202.0	11278.0
203.0	11263.0
204.0	11416.0
205.0	11273.0
206.0	11082.0
207.0	10949.0
208.0	11067.0
209.0	11118.0
210.0	11244.0
211.0	11226.0
212.0	11519.0
213.0	11298.0
214.0	11404.0
215.0	11333.0
216.0	11327.0
217.0	11382.0
218.0	11165.0
219.0	11202.0
220.0	11204.0
221.0	11165.0
222.0	11090.0
223.0	10975.0
224.0	11109.0
225.0	11120.0
226.0	11155.0
227.0	11205.0
228.0	11138.0
229.0	11070.0
230.0	11186.0
231.0	11171.0
232.0	11046.0
233.0	11079.0
234.0	11269.0
235.0	11131.0
236.0	11269.0
237.0	11090.0
238.0	11025.0
239.0	11087.0
240.0	11498.0
241.0	11448.0
242.0	11290.0
243.0	11245.0
244.0	11301.0
245.0	11266.0
246.0	11176.0
247.0	11254.0
248.0	11493.0
249.0	11135.0
250.0	11316.0
251.0	11168.0
252.0	11128.0
253.0	10932.0
254.0	11097.0
255.0	11058.0
256.0	11010.0
257.0	11101.0
258.0	11181.0
259.0	11308.0
260.0	11210.0
261.0	11004.0
262.0	11241.0
263.0	11155.0
264.0	10933.0
265.0	10907.0
266.0	11050.0
267.0	11155.0
268.0	11166.0
269.0	10873.0
270.0	10792.0
271.0	10892.0
272.0	11016.0
273.0	11093.0
274.0	10814.0
275.0	10982.0
276.0	11191.0
277.0	10874.0
278.0	10937.0
279.0	10974.0
280.0	10955.0
281.0	10807.0
282.0	10704.0
283.0	10720.0
284.0	10685.0
285.0	10809.0
286.0	10686.0
287.0	10822.0
288.0	10908.0
289.0	10716.0
290.0	10849.0
291.0	10872.0
292.0	10863.0
293.0	10795.0
294.0	10780.0
295.0	10633.0
296.0	10462.0
297.0	10516.0
298.0	10544.0
299.0	10515.0
300.0	10392.0
301.0	10203.0
302.0	10261.0
303.0	10032.0
304.0	10071.0
305.0	10217.0
306.0	10243.0
307.0	10221.0
308.0	10152.0
309.0	10052.0
310.0	10115.0
311.0	10045.0
312.0	10016.0
313.0	9934.0
314.0	9917.0
315.0	9894.0
316.0	9808.0
317.0	9996.0
318.0	10038.0
319.0	9794.0
320.0	10067.0
321.0	10182.0
322.0	9989.0
323.0	9746.0
324.0	9872.0
325.0	10027.0
326.0	9960.0
327.0	9804.0
328.0	9750.0
329.0	9613.0
330.0	9738.0
331.0	9598.0
332.0	9305.0
333.0	9500.0
334.0	9576.0
335.0	9505.0
336.0	9463.0
337.0	9569.0
338.0	9419.0
339.0	9406.0
340.0	9363.0
341.0	9333.0
342.0	9433.0
343.0	9411.0
344.0	9338.0
345.0	9479.0
346.0	9454.0
347.0	9383.0
348.0	9292.0
349.0	9227.0
350.0	9146.0
351.0	9112.0
352.0	9226.0
353.0	9069.0
354.0	9002.0
355.0	8859.0
356.0	8901.0
357.0	8913.0
358.0	8826.0
359.0	8818.0
360.0	8735.0
361.0	8682.0
362.0	8740.0
363.0	8896.0
364.0	8662.0
365.0	8493.0
366.0	8659.0
367.0	8569.0
368.0	8434.0
369.0	8514.0
370.0	8483.0
371.0	8427.0
372.0	8300.0
373.0	8287.0
374.0	8458.0
375.0	8216.0
376.0	8252.0
377.0	8360.0
378.0	8233.0
379.0	8127.0
380.0	8228.0
381.0	8070.0
382.0	8093.0
383.0	7945.0
384.0	8125.0
385.0	8132.0
386.0	8096.0
387.0	7934.0
388.0	7823.0
389.0	7923.0
390.0	7928.0
391.0	7913.0
392.0	7750.0
393.0	7751.0
394.0	7737.0
395.0	7788.0
396.0	7628.0
397.0	7420.0
398.0	7545.0
399.0	7600.0
400.0	7516.0
401.0	7476.0
402.0	7513.0
403.0	7543.0
404.0	7232.0
405.0	7229.0
406.0	7356.0
407.0	7170.0
408.0	7092.0
409.0	7191.0
410.0	7169.0
411.0	7055.0
412.0	7060.0
413.0	7077.0
414.0	7123.0
415.0	6915.0
416.0	6897.0
417.0	7050.0
418.0	6993.0
419.0	6920.0
420.0	6844.0
421.0	6770.0
422.0	6548.0
423.0	6635.0
424.0	6662.0
425.0	6647.0
426.0	6740.0
427.0	6726.0
428.0	6698.0
429.0	6446.0
430.0	6325.0
431.0	6424.0
432.0	6384.0
433.0	6291.0
434.0	6395.0
435.0	6401.0
436.0	6270.0
437.0	6201.0
438.0	6284.0
439.0	6240.0
440.0	6211.0
441.0	6161.0
442.0	6174.0
443.0	6106.0
444.0	6029.0
445.0	5881.0
446.0	5799.0
447.0	5754.0
448.0	5789.0
449.0	5755.0
450.0	5898.0
451.0	5921.0
452.0	5918.0
