#Coverage (X)	Coverage
1.0	49.38454476545444
2.0	44.201317936883186
3.0	35.13597380614614
4.0	27.13613367387309
5.0	19.97337983872906
6.0	16.209067749788332
7.0	11.773779994958176
8.0	9.38774902689046
9.0	6.889088119942471
10.0	5.417839428817842
11.0	4.048594096923878
12.0	3.1878291439581545
13.0	2.4236723328418037
14.0	1.9314459402525017
15.0	1.5015606623933877
16.0	1.2171302295994195
17.0	0.9749861723674371
18.0	0.8085737929975636
19.0	0.6685344941244296
20.0	0.5690234960737257
21.0	0.48527491902312647
22.0	0.4232382466029492
23.0	0.3718171321880277
24.0	0.3325242352366331
25.0	0.2992942223898467
26.0	0.2727815343977653
27.0	0.25010707282578437
28.0	0.2320830104011833
29.0	0.21645848241841747
30.0	0.20313355930186106
31.0	0.19160540914286628
32.0	0.18142434885118064
33.0	0.1725181254248298
34.0	0.16494429633995367
35.0	0.15806091204343886
36.0	0.15175628653899764
37.0	0.14602846042319584
38.0	0.14073782620069153
39.0	0.13588952730553672
40.0	0.13160578152749736
41.0	0.1274501317495691
42.0	0.12363566309620921
43.0	0.12006465032068547
44.0	0.11681571448616523
45.0	0.11362923463640584
46.0	0.11078785471811159
47.0	0.10799031645186119
48.0	0.1054163951035747
49.0	0.10287308943409812
50.0	0.10057519904590606
51.0	0.09830694463478551
