#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	9.267497034400949E-7
4.0	1.8534994068801897E-6
5.0	6.487247924080664E-6
6.0	9.26749703440095E-6
7.0	1.5754744958481613E-5
8.0	4.355723606168446E-5
9.0	9.823546856465006E-5
10.0	2.5207591933570586E-4
11.0	6.895017793594306E-4
12.0	0.0016996589561091339
13.0	0.004228758896797153
14.0	0.009320321767497034
15.0	0.018499777580071174
16.0	0.03310905990510083
17.0	0.05258655842230131
18.0	0.0730927491103203
19.0	0.09047764679715303
20.0	0.09954589264531437
21.0	0.09862470344009489
22.0	0.08974551453143537
23.0	0.07664405397390271
24.0	0.062032918149466196
25.0	0.05260787366548043
26.0	0.03262900355871886
27.0	0.02756524317912218
28.0	0.020986247034400947
29.0	0.015946582147093713
30.0	0.01240083778173191
31.0	0.01005894128113879
32.0	0.007954292704626333
33.0	0.006756932087781732
34.0	0.0055929344602609725
35.0	0.004868216192170819
36.0	0.0041861284104389085
37.0	0.0037097790628707
38.0	0.003199139976275208
39.0	0.0030110097864768683
40.0	0.002745959371293001
41.0	0.00264030990510083
42.0	0.0024660809608540923
43.0	0.0024707147093712928
44.0	0.0026189946619217083
45.0	0.002858096085409253
46.0	0.00332054418742586
47.0	0.004144424673784105
48.0	0.005978462336892053
49.0	0.00820822212336892
50.0	0.00918501631079478
51.0	0.00898298487544484
52.0	0.005743067912218268
53.0	0.004895091933570582
54.0	0.003378929418742586
55.0	0.0023808199881376036
56.0	0.0017450696915776987
57.0	0.001290035587188612
58.0	8.655842230130485E-4
59.0	6.338967971530249E-4
60.0	3.9850237247924077E-4
61.0	2.715376631079478E-4
62.0	1.6959519572953737E-4
63.0	1.3901245551601425E-4
64.0	8.804122182680902E-5
65.0	5.931198102016607E-5
66.0	4.819098457888494E-5
67.0	2.5022241992882566E-5
68.0	1.7608244365361803E-5
69.0	9.267497034400948E-6
70.0	7.413997627520759E-6
71.0	4.633748517200474E-6
72.0	3.7069988137603794E-6
73.0	0.0
74.0	9.267497034400949E-7
75.0	1.8534994068801897E-6
76.0	1.8534994068801897E-6
77.0	9.267497034400949E-7
78.0	9.267497034400949E-7
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	9.267497034400949E-7
