Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
LCM_11_fbtrim_1	LCM_11_fbtrim_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	149030715.0	21.7 Gbp	0.0	40-151	36.0	14.607302647509727	146.16857834977174	pass	pass	warn	pass	warn	fail	pass	warn	fail	pass	pass
LCM_11_fbtrim_2	LCM_11_fbtrim_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	149030715.0	21.8 Gbp	0.0	40-151	36.0	16.47079655478588	146.42793289289392	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
LCM_12_fbtrim_1	LCM_12_fbtrim_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	133955295.0	19 Gbp	0.0	40-151	35.0	15.837365568253626	142.2460118131202	pass	pass	warn	pass	warn	fail	pass	warn	fail	pass	pass
LCM_12_fbtrim_2	LCM_12_fbtrim_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	133955295.0	19.1 Gbp	0.0	40-151	35.0	18.109050507932384	142.88189575484867	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
LCM_17_fbtrim_1	LCM_17_fbtrim_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	200513637.0	29.6 Gbp	0.0	40-151	36.0	14.801573504945182	147.84383568385425	pass	pass	warn	pass	warn	warn	pass	warn	fail	pass	pass
LCM_17_fbtrim_2	LCM_17_fbtrim_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	200513637.0	29.6 Gbp	0.0	40-151	36.0	15.500862835227228	147.96268504670334	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
LCM_18_fbtrim_1	LCM_18_fbtrim_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	210609922.0	31.1 Gbp	0.0	40-151	33.0	15.219374406514438	147.74925634320306	pass	pass	warn	pass	warn	fail	pass	warn	fail	pass	pass
LCM_18_fbtrim_2	LCM_18_fbtrim_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	210609922.0	31.1 Gbp	0.0	40-151	33.0	15.64977529388969	147.88192835473345	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
LCM_1_fbtrim_1	LCM_1_fbtrim_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	145933162.0	21.2 Gbp	0.0	40-151	34.0	15.53648734988651	145.77419814969815	pass	pass	warn	pass	warn	fail	pass	warn	fail	pass	pass
LCM_1_fbtrim_2	LCM_1_fbtrim_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	145933162.0	21.3 Gbp	0.0	40-151	34.0	17.314478610992705	146.03820294800437	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
