Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
LCM_11_S3_R1_001	88.33252440077082	38.0	84.34558196154462	36.36363636363637	232430899.0
LCM_11_S3_R2_001	81.44904207914007	38.0	94.62626175188524	45.45454545454545	232430899.0
LCM_12_S4_R1_001	91.976529748915	38.0	64.90237272278854	36.36363636363637	312946124.0
LCM_12_S4_R2_001	87.31187036451338	40.0	79.74788184946493	45.45454545454545	312946124.0
LCM_17_S7_R1_001	82.31890899617386	35.0	117.75576517185588	27.27272727272727	204341827.0
LCM_17_S7_R2_001	72.97256114520748	35.0	118.85014959761517	36.36363636363637	204341827.0
LCM_18_S8_R1_001	81.87617110134023	33.0	117.15418280789487	27.27272727272727	216244129.0
LCM_18_S8_R2_001	73.48685630472707	33.0	118.43044248382809	36.36363636363637	216244129.0
LCM_1_S1_R1_001	88.82517097430765	36.0	79.09496609676702	36.36363636363637	249187150.0
LCM_1_S1_R2_001	82.42430808922477	36.0	91.0607509616768	45.45454545454545	249187150.0
LCM_24_S5_R1_001	87.87652741149734	31.0	75.19343685264391	36.36363636363637	341179114.0
LCM_24_S5_R2_001	84.15909499072754	31.0	87.15915342637298	45.45454545454545	341179114.0
LCM_25_S6_R1_001	90.47018697643627	34.0	69.3691344757406	45.45454545454545	334518180.0
LCM_25_S6_R2_001	86.30491620558278	35.0	84.11278477600231	45.45454545454545	334518180.0
LCM_32_S9_R1_001	83.92412653297417	37.0	118.93161713516628	27.27272727272727	201158083.0
LCM_32_S9_R2_001	73.37866316352975	37.0	120.13938358122054	27.27272727272727	201158083.0
LCM_33_S10_R1_001	85.40031496006647	42.0	115.18779845578676	27.27272727272727	167803121.0
LCM_33_S10_R2_001	74.5080310827755	42.0	116.74621523874994	27.27272727272727	167803121.0
LCM_3_S2_R1_001	91.45899250127576	40.0	68.85842884275523	45.45454545454545	271926837.0
LCM_3_S2_R2_001	87.43390585853936	38.0	82.48690857239663	45.45454545454545	271926837.0
