#Coverage (X)	Coverage
1.0	84.24884018134142
2.0	79.65586355619665
3.0	74.03028082655102
4.0	69.3949406743337
5.0	64.13226738389716
6.0	59.318605353255776
7.0	54.08013045041929
8.0	49.16304498290169
9.0	44.123977588794084
10.0	39.43544918518135
11.0	34.8770048413969
12.0	30.70917639136148
13.0	26.81770171312651
14.0	23.33803902031454
15.0	20.188459880825064
16.0	17.43422320604087
17.0	14.999835140692781
18.0	12.899773226972925
19.0	11.085707799249136
20.0	9.535906379154838
21.0	8.212548561426317
22.0	7.092389943015007
23.0	6.139877883217466
24.0	5.339645760529152
25.0	4.660535876170059
26.0	4.089925508232639
27.0	3.6071003333645706
28.0	3.1973476809605472
29.0	2.849292234330136
30.0	2.5511236892184996
31.0	2.296218772136214
32.0	2.0751402613237815
33.0	1.883679848035726
34.0	1.7165077099806894
35.0	1.5697572093886265
36.0	1.4408686305862233
37.0	1.3262778187099968
38.0	1.2236925166566692
39.0	1.1324039102305932
40.0	1.0504511264358314
41.0	0.9762847669995409
42.0	0.9094071434471118
43.0	0.8489338300493046
44.0	0.7938834106064263
45.0	0.7438848230913777
46.0	0.6981609191134481
47.0	0.6561258370430778
48.0	0.617233393170423
49.0	0.5813912506082204
50.0	0.5475944803154533
51.0	0.517139472595332
