#Duplication rate	Coverage
1.0	9269310.0
2.0	5010136.0
3.0	1301496.0
4.0	484036.0
5.0	140423.0
6.0	43601.0
7.0	14491.0
8.0	6615.0
9.0	2797.0
10.0	1720.0
11.0	935.0
12.0	665.0
13.0	469.0
14.0	358.0
15.0	281.0
16.0	240.0
17.0	187.0
18.0	146.0
19.0	113.0
20.0	86.0
21.0	84.0
22.0	82.0
23.0	69.0
24.0	74.0
25.0	46.0
26.0	57.0
27.0	42.0
28.0	50.0
29.0	41.0
30.0	36.0
31.0	31.0
32.0	33.0
33.0	26.0
34.0	25.0
35.0	27.0
36.0	15.0
37.0	21.0
38.0	17.0
39.0	18.0
40.0	13.0
41.0	15.0
42.0	15.0
43.0	26.0
44.0	13.0
45.0	12.0
46.0	11.0
47.0	10.0
48.0	11.0
49.0	12.0
50.0	287.0
