#Mapping quality	mapping quality
0.0	3434755.0
1.0	2499040.0
2.0	1.0835958E7
3.0	6501520.0
4.0	1.2421362E7
5.0	1.574937E7
6.0	4.3238718E7
7.0	6625092.0
8.0	5515174.0
9.0	4423965.0
10.0	3885388.0
11.0	3738406.0
12.0	3834179.0
13.0	3156771.0
14.0	3211649.0
15.0	3170689.0
16.0	2995221.0
17.0	3024576.0
18.0	3193356.0
19.0	2707365.0
20.0	2663614.0
21.0	2980140.0
22.0	2946288.0
23.0	3525419.0
24.0	3445519.0
25.0	2796352.0
26.0	2883388.0
27.0	2833296.0
28.0	3071273.0
29.0	3030410.0
30.0	3564884.0
31.0	3402409.0
32.0	4045476.0
33.0	4208870.0
34.0	4693016.0
35.0	5148043.0
36.0	6353730.0
37.0	7227950.0
38.0	9151018.0
39.0	1.1257997E7
40.0	1.4551715E7
41.0	3.2704415E7
42.0	6.3329736E7
