gene_id,LCM_15,LCM_16,LCM_20,LCM_21,LCM_26,LCM_27,LCM_4,LCM_5,LCM_8,LCM_9
Pocillopora_acuta_HIv2___RNAseq.g27564.t1,0,0,3,0,0,0,0,2,0,5
Pocillopora_acuta_HIv2___RNAseq.g27565.t1,0,119,75,5,95,183,34,327,0,0
Pocillopora_acuta_HIv2___RNAseq.g27560.t1,44,221,97,0,68,407,210,557,0,0
Pocillopora_acuta_HIv2___RNAseq.g27568.t1,69,29,74,0,46,337,29,227,528,437
Pocillopora_acuta_HIv2___RNAseq.g27566.t1,376,773,447,0,0,883,0,0,0,2150
Pocillopora_acuta_HIv2___TS.g10330.t2,234,0,144,0,118,0,211,71,0,0
Pocillopora_acuta_HIv2___RNAseq.g27574.t1,74,23,50,327,12,28,0,617,0,0
Pocillopora_acuta_HIv2___RNAseq.g27572.t1,268,14,919,163,2228,0,0,806,173,0
Pocillopora_acuta_HIv2___RNAseq.g27576.t2,0,249,366,0,223,0,0,582,0,0
Pocillopora_acuta_HIv2___RNAseq.g27577.t1,268,283,244,243,731,187,2349,306,147,0
Pocillopora_acuta_HIv2___TS.g10337.t2,1097,261,346,179,1426,1455,1008,30,113,0
Pocillopora_acuta_HIv2___TS.g10343.t1,3,0,28,0,48,0,0,73,0,0
Pocillopora_acuta_HIv2___TS.g10338.t1,386,0,0,537,897,159,0,419,0,0
Pocillopora_acuta_HIv2___RNAseq.g27585.t1,59,42,35,184,65,86,1,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27591.t1,798,1209,1049,232,1546,1091,1018,899,1618,24
Pocillopora_acuta_HIv2___RNAseq.g27592.t1,576,670,488,0,437,380,1101,1379,0,0
Pocillopora_acuta_HIv2___RNAseq.g27596.t1,116,0,173,4,2153,234,623,450,236,0
Pocillopora_acuta_HIv2___RNAseq.g27598.t1,79,0,350,0,5,0,437,0,0,398
Pocillopora_acuta_HIv2___RNAseq.199_t,1085,862,158,355,912,648,1317,1145,0,0
Pocillopora_acuta_HIv2___RNAseq.g27600.t1,219,397,169,196,907,160,545,680,709,742
Pocillopora_acuta_HIv2___RNAseq.g27602.t1,0,0,0,0,0,0,0,483,0,0
Pocillopora_acuta_HIv2___RNAseq.g27605.t1,0,0,0,0,178,166,487,220,0,0
Pocillopora_acuta_HIv2___RNAseq.213_t,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27607.t1,185,0,248,274,481,0,481,0,62,0
Pocillopora_acuta_HIv2___RNAseq.g27609.t1,0,0,504,0,832,326,0,179,707,14
Pocillopora_acuta_HIv2___RNAseq.g27614.t1,14,17,0,0,71,171,7,111,7,78
Pocillopora_acuta_HIv2___RNAseq.g27617.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27618.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27616.t1,355,0,0,0,214,0,0,846,0,0
Pocillopora_acuta_HIv2___RNAseq.g27631.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27629.t1,460,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27621.t1,0,857,0,1730,69,7331,3952,0,0,663
Pocillopora_acuta_HIv2___TS.g10384.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27623.t1,160,0,0,0,0,0,0,0,170,0
Pocillopora_acuta_HIv2___RNAseq.g27624.t1,193,0,116,0,172,0,0,437,0,0
Pocillopora_acuta_HIv2___TS.g10386.t1,521,48,368,0,180,0,25,1222,674,0
Pocillopora_acuta_HIv2___RNAseq.g27633.t1,3,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10394.t2,169,0,32,0,108,1008,0,759,0,541
Pocillopora_acuta_HIv2___RNAseq.g27648.t1,61,0,206,0,0,0,0,97,0,3
Pocillopora_acuta_HIv2___RNAseq.g27634.t1,142,0,145,0,65,0,0,54,0,0
Pocillopora_acuta_HIv2___TS.g10393.t1,1979,120,1571,810,3166,1971,1009,3551,2059,0
Pocillopora_acuta_HIv2___TS.g10411.t1,74,54,28,10,343,57,0,158,7,34
Pocillopora_acuta_HIv2___RNAseq.g27652.t1,16,31,6,22,16,24,14,20,1,38
Pocillopora_acuta_HIv2___RNAseq.g27654.t1,4,0,0,0,43,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27659.t1,3,0,8,15,22,10,19,20,0,0
Pocillopora_acuta_HIv2___TS.g10419.t1a,5,0,2,0,3,0,0,0,58,0
Pocillopora_acuta_HIv2___RNAseq.g27666.t1,123,80,297,0,448,0,243,34,0,0
Pocillopora_acuta_HIv2___RNAseq.g27667.t1,73,187,248,0,348,0,732,107,0,0
Pocillopora_acuta_HIv2___TS.g10425.t1,1287,688,1261,256,1387,1631,953,2937,2410,1219
Pocillopora_acuta_HIv2___RNAseq.g27669.t1,49,0,734,0,1310,477,0,833,228,560
Pocillopora_acuta_HIv2___RNAseq.g27670.t1,156,132,102,383,329,274,257,182,382,259
Pocillopora_acuta_HIv2___RNAseq.g27676.t1,21,659,232,0,393,1042,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27673.t1,202,0,500,0,236,0,0,178,322,0
Pocillopora_acuta_HIv2___RNAseq.g27679.t1,361,3438,217,3356,855,2320,4602,2817,0,0
Pocillopora_acuta_HIv2___RNAseq.g27681.t1a,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27681.t1b,947,0,154,0,1089,0,0,915,2128,0
Pocillopora_acuta_HIv2___RNAseq.g27682.t1,33,195,333,108,320,29,106,591,0,302
Pocillopora_acuta_HIv2___TS.g10440.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10442.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27685.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10441.t1,652,70,21,20,111,542,743,376,44,0
Pocillopora_acuta_HIv2___TS.g10443.t1,79,0,18,223,51,141,131,243,127,0
Pocillopora_acuta_HIv2___RNAseq.g27690.t1,646,1138,272,0,481,69,155,984,62,0
Pocillopora_acuta_HIv2___RNAseq.g27697.t1,133,422,191,0,0,460,838,50,0,107
Pocillopora_acuta_HIv2___TS.g10450.t1,3223,4173,4848,2427,6970,7530,10668,6714,2462,877
Pocillopora_acuta_HIv2___RNAseq.g27699.t1,213,302,639,69,673,24,0,636,235,0
Pocillopora_acuta_HIv2___RNAseq.g27700.t1,108,42,0,27,48,33,101,30,0,156
Pocillopora_acuta_HIv2___RNAseq.g27702.t1,14,423,185,0,0,0,208,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27701.t1,1849,2705,969,2568,1208,534,72,1870,1404,337
Pocillopora_acuta_HIv2___RNAseq.g27711.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27714.t1,2,0,0,854,9,0,1,27,31,77
Pocillopora_acuta_HIv2___RNAseq.g27704.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27705.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27706.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10465.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10467.t1,0,1,3,0,33,6,21,15,0,0
Pocillopora_acuta_HIv2___TS.g10466.t2,855,109,255,590,77,0,0,262,0,0
Pocillopora_acuta_HIv2___RNAseq.g27708.t1,6,2,10,2,3,5,2,25,7,2
Pocillopora_acuta_HIv2___RNAseq.g27717.t1,349,0,52,0,206,50,0,2,0,0
Pocillopora_acuta_HIv2___RNAseq.g27730.t1,197,38,158,20,285,177,0,118,366,0
Pocillopora_acuta_HIv2___TS.g10493.t1,27,0,0,0,8,0,0,11,0,0
Pocillopora_acuta_HIv2___RNAseq.g27738.t1,3,0,0,0,0,2,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27741.t1,33,0,0,0,0,20,0,0,20,0
Pocillopora_acuta_HIv2___RNAseq.g27743.t1,7,16,7,0,0,0,0,9,0,0
Pocillopora_acuta_HIv2___RNAseq.g27744.t1,2,0,0,0,0,3,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27748.t1,0,0,40,38,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10518.t1,5,0,4,11,2,0,0,10,0,0
Pocillopora_acuta_HIv2___RNAseq.g27755.t1,248,0,91,27,4,52,0,77,0,37
Pocillopora_acuta_HIv2___RNAseq.g27763.t1,2,0,4,5,3,0,5,2,0,0
Pocillopora_acuta_HIv2___TS.g10524.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27767.t1,16,0,0,0,0,34,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27768.t1,36,8,0,0,21,8,38,50,87,0
Pocillopora_acuta_HIv2___RNAseq.g27778.t1,1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27779.t1,7,0,9,0,0,30,0,0,25,0
Pocillopora_acuta_HIv2___RNAseq.g27780.t1,0,0,7,96,14,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27786.t1,94,0,0,552,372,0,557,496,0,0
