Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
trimmed_V3_LCM_11_S3_R1_001.100bp_5prime	85.19902859472765	36.0	98.42786070429132	18.181818181818183	148474696.0
trimmed_V3_LCM_11_S3_R2_001.100bp_5prime	82.79520545412362	36.0	98.26908465264681	27.27272727272727	148474696.0
trimmed_V3_LCM_12_S4_R1_001.100bp_5prime	84.03520976269087	35.0	97.31875795472338	18.181818181818183	132759959.0
trimmed_V3_LCM_12_S4_R2_001.100bp_5prime	81.47695669529453	35.0	97.21939676103696	27.27272727272727	132759959.0
trimmed_V3_LCM_17_S7_R1_001.100bp_5prime	84.68734029928149	36.0	99.31489610895355	9.090909090909092	200732890.0
trimmed_V3_LCM_17_S7_R2_001.100bp_5prime	83.49894639927587	36.0	99.19846220517226	27.27272727272727	200732890.0
trimmed_V3_LCM_18_S8_R1_001.100bp_5prime	84.23042872091258	33.0	99.37853378226409	18.181818181818183	210870236.0
trimmed_V3_LCM_18_S8_R2_001.100bp_5prime	83.27840823396184	33.0	99.25933877173638	27.27272727272727	210870236.0
trimmed_V3_LCM_1_S1_R1_001.100bp_5prime	84.11664291912047	34.0	98.42755540189474	18.181818181818183	145474808.0
trimmed_V3_LCM_1_S1_R2_001.100bp_5prime	81.66045935205473	34.0	98.28858901810683	36.36363636363637	145474808.0
trimmed_V3_LCM_24_S5_R1_001.100bp_5prime	80.37784603851928	26.0	97.9458502159382	18.181818181818183	180902919.0
trimmed_V3_LCM_24_S5_R2_001.100bp_5prime	80.23178853814603	26.0	97.89085784735181	36.36363636363637	180902919.0
trimmed_V3_LCM_25_S6_R1_001.100bp_5prime	82.7190310725194	30.0	97.79959828972373	18.181818181818183	161009075.0
trimmed_V3_LCM_25_S6_R2_001.100bp_5prime	81.96809709110352	30.0	97.73255901258982	36.36363636363637	161009075.0
trimmed_V3_LCM_32_S9_R1_001.100bp_5prime	86.64408657571721	38.0	99.30036506083546	9.090909090909092	203757820.0
trimmed_V3_LCM_32_S9_R2_001.100bp_5prime	84.38256436083479	38.0	99.10655868815243	18.181818181818183	203757820.0
trimmed_V3_LCM_33_S10_R1_001.100bp_5prime	87.55992717843144	42.0	99.0080178832243	9.090909090909092	167013283.0
trimmed_V3_LCM_33_S10_R2_001.100bp_5prime	84.53485639702353	42.0	98.77153122006469	18.181818181818183	167013283.0
trimmed_V3_LCM_3_S2_R1_001.100bp_5prime	84.57158106116978	36.0	97.62601240563556	9.090909090909092	125212287.0
trimmed_V3_LCM_3_S2_R2_001.100bp_5prime	83.58324634479898	36.0	97.53946419012377	18.181818181818183	125212287.0
