CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	27885	62641	30.80	90526
2	27140	72027	27.37	99167
3	34933	76636	31.31	111569
4	30299	72302	29.53	102601
5	27582	68433	28.73	96015
6	27539	64347	29.97	91886
7	26069	57271	31.28	83340
8	25062	59774	29.54	84836
9	25266	60432	29.48	85698
10	24810	59994	29.26	84804
11	25670	59640	30.09	85310
12	23890	60723	28.23	84613
13	24754	58894	29.59	83648
14	26645	59556	30.91	86201
15	26859	60661	30.69	87520
16	25009	60039	29.41	85048
17	25787	60243	29.97	86030
18	26144	60535	30.16	86679
19	25233	59787	29.68	85020
20	27895	61741	31.12	89636
21	27995	60593	31.60	88588
22	23491	59699	28.24	83190
23	24999	60563	29.22	85562
24	24495	61539	28.47	86034
25	24390	59369	29.12	83759
26	23976	60582	28.35	84558
27	24204	61122	28.37	85326
28	24321	60579	28.65	84900
29	25045	60258	29.36	85303
30	24566	61140	28.66	85706
31	24654	59404	29.33	84058
32	25023	61163	29.03	86186
33	25244	60117	29.57	85361
34	24325	59908	28.88	84233
35	24423	59895	28.97	84318
36	24502	60810	28.72	85312
37	24576	59998	29.06	84574
38	24424	60421	28.79	84845
39	24926	60827	29.07	85753
40	24856	60712	29.05	85568
41	24973	60492	29.22	85465
42	24476	61330	28.52	85806
43	24211	59196	29.03	83407
44	23997	60507	28.40	84504
45	24454	59804	29.02	84258
46	23939	60073	28.49	84012
47	24243	60116	28.74	84359
48	24243	60929	28.46	85172
49	23502	58976	28.49	82478
50	23802	60731	28.16	84533
51	23702	59666	28.43	83368
52	23634	59268	28.51	82902
53	23615	59061	28.56	82676
54	22969	60140	27.64	83109
55	23920	58280	29.10	82200
56	22982	59377	27.90	82359
57	23295	58882	28.35	82177
58	22850	59084	27.89	81934
59	22990	57665	28.50	80655
60	22923	58065	28.30	80988
61	23137	57046	28.86	80183
62	22914	58236	28.24	81150
63	23048	58701	28.19	81749
64	22816	57359	28.46	80175
65	22869	56626	28.77	79495
66	22105	57749	27.68	79854
67	22293	58104	27.73	80397
68	22784	58344	28.08	81128
69	22562	58742	27.75	81304
70	22827	58085	28.21	80912
71	22901	58481	28.14	81382
72	22809	58765	27.96	81574
73	22637	57430	28.27	80067
74	21932	58279	27.34	80211
