CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	24555	90083	21.42	114638
2	23645	96744	19.64	120389
3	29529	99597	22.87	129126
4	25861	95085	21.38	120946
5	24272	91293	21.00	115565
6	24051	87541	21.55	111592
7	23482	81443	22.38	104925
8	22701	84895	21.10	107596
9	22788	84979	21.15	107767
10	23007	84404	21.42	107411
11	23441	84336	21.75	107777
12	21862	85117	20.44	106979
13	21704	82995	20.73	104699
14	23905	84906	21.97	108811
15	23936	84122	22.15	108058
16	22635	83708	21.28	106343
17	23205	83676	21.71	106881
18	23102	84740	21.42	107842
19	22726	84041	21.29	106767
20	24746	85796	22.39	110542
21	24660	85198	22.45	109858
22	21088	84102	20.05	105190
23	22973	84876	21.30	107849
24	22101	86722	20.31	108823
25	21926	83943	20.71	105869
26	21476	84228	20.32	105704
27	21929	86021	20.31	107950
28	21946	86822	20.18	108768
29	22035	85479	20.50	107514
30	21863	86317	20.21	108180
31	22287	84788	20.81	107075
32	21660	86072	20.11	107732
33	22091	85166	20.60	107257
34	22570	84760	21.03	107330
35	22624	85535	20.92	108159
36	22299	86526	20.49	108825
37	22431	84128	21.05	106559
38	22067	85140	20.58	107207
39	22592	84895	21.02	107487
40	22456	86117	20.68	108573
41	22384	84547	20.93	106931
42	21932	86127	20.30	108059
43	22255	84980	20.75	107235
44	21785	85694	20.27	107479
45	22395	84806	20.89	107201
46	21635	84527	20.38	106162
47	22332	85389	20.73	107721
48	22207	86927	20.35	109134
49	21982	84898	20.57	106880
50	21621	85692	20.15	107313
51	22190	84674	20.76	106864
52	22035	84904	20.61	106939
53	21911	84750	20.54	106661
54	21186	84746	20.00	105932
55	21229	84445	20.09	105674
56	21475	84366	20.29	105841
57	21526	83876	20.42	105402
58	21461	82893	20.57	104354
59	21759	82481	20.87	104240
60	21247	84694	20.06	105941
61	21106	82429	20.39	103535
62	21071	83083	20.23	104154
63	21666	84269	20.45	105935
64	21866	82193	21.01	104059
65	21470	81297	20.89	102767
66	21339	82515	20.55	103854
67	21195	84113	20.13	105308
68	21637	84488	20.39	106125
69	21785	84997	20.40	106782
70	21457	83785	20.39	105242
71	22253	84734	20.80	106987
72	21796	85340	20.34	107136
73	21562	82802	20.66	104364
74	21104	83544	20.17	104648
75	21116	84227	20.04	105343
76	21139	83840	20.14	104979
77	20964	82957	20.17	103921
78	21019	83078	20.19	104097
79	21228	83142	20.34	104370
80	20875	83790	19.94	104665
81	21506	83504	20.48	105010
82	21400	82548	20.59	103948
83	21402	82713	20.56	104115
84	21268	83924	20.22	105192
85	21135	82323	20.43	103458
86	20360	82574	19.78	102934
87	21174	83576	20.21	104750
88	20509	83239	19.77	103748
89	20946	81327	20.48	102273
90	20936	83177	20.11	104113
91	20806	82079	20.22	102885
92	20747	83493	19.90	104240
93	21050	82798	20.27	103848
94	20454	82057	19.95	102511
95	20853	81634	20.35	102487
96	20081	82670	19.54	102751
97	20479	81164	20.15	101643
98	20329	81386	19.99	101715
99	20223	81923	19.80	102146
100	20397	81927	19.93	102324
101	20420	80815	20.17	101235
102	20479	81627	20.06	102106
103	20241	80254	20.14	100495
104	20230	80594	20.06	100824
105	20567	80262	20.40	100829
106	20114	80135	20.06	100249
107	20385	80691	20.17	101076
108	20479	81273	20.13	101752
109	20133	79121	20.28	99254
110	19995	80619	19.87	100614
111	20282	80356	20.15	100638
112	19501	79825	19.63	99326
113	19861	79334	20.02	99195
114	20105	80624	19.96	100729
115	19372	79741	19.55	99113
116	18970	79995	19.17	98965
117	19691	78898	19.97	98589
118	19353	78605	19.76	97958
119	19446	78384	19.88	97830
120	19663	80260	19.68	99923
121	19601	78250	20.03	97851
122	19028	78916	19.43	97944
123	19405	78510	19.82	97915
124	19346	78959	19.68	98305
125	19421	78238	19.89	97659
126	19268	78333	19.74	97601
127	18755	77565	19.47	96320
128	19096	78284	19.61	97380
129	19206	77503	19.86	96709
130	18917	77223	19.68	96140
131	18801	77032	19.62	95833
132	18598	77608	19.33	96206
133	18791	76143	19.79	94934
134	19078	76790	19.90	95868
135	18879	77230	19.64	96109
136	18412	76390	19.42	94802
137	18485	76222	19.52	94707
138	18433	76049	19.51	94482
139	18294	75741	19.45	94035
140	18455	75647	19.61	94102
141	18725	75538	19.86	94263
142	18330	74972	19.65	93302
143	18411	74627	19.79	93038
144	18166	75394	19.42	93560
145	17906	73262	19.64	91168
146	17850	74519	19.32	92369
147	17968	74800	19.37	92768
148	17513	73755	19.19	91268
149	17053	72173	19.11	89226
150	15959	68768	18.84	84727
151	13090	52590	19.93	65680

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	44207	107084	29.22	151291
2	34616	102701	25.21	137317
3	43416	103041	29.64	146457
4	31215	95688	24.60	126903
5	31291	91393	25.51	122684
6	31339	92772	25.25	124111
7	32785	95823	25.49	128608
8	27476	96760	22.12	124236
9	30362	96809	23.87	127171
10	30653	96221	24.16	126874
11	33415	96387	25.74	129802
12	26728	96993	21.60	123721
13	31697	97040	24.62	128737
14	32636	96734	25.23	129370
15	33601	96476	25.83	130077
16	30549	98142	23.74	128691
17	32327	97705	24.86	130032
18	30837	98195	23.90	129032
19	35296	98237	26.43	133533
20	30081	98654	23.37	128735
21	31647	98114	24.39	129761
22	29919	98716	23.26	128635
23	34271	98393	25.83	132664
24	28559	97893	22.58	126452
25	30639	97735	23.87	128374
26	29769	98287	23.25	128056
27	33312	98756	25.22	132068
28	29221	97640	23.03	126861
29	31289	98457	24.12	129746
30	29860	99023	23.17	128883
31	32767	98625	24.94	131392
32	28552	99890	22.23	128442
33	31003	98736	23.90	129739
34	30541	98346	23.70	128887
35	32926	99430	24.88	132356
36	28610	98888	22.44	127498
37	31429	98536	24.18	129965
38	30901	98523	23.88	129424
39	32851	98574	25.00	131425
40	28704	98722	22.53	127426
41	31277	98342	24.13	129619
42	29516	98884	22.99	128400
43	33194	99019	25.11	132213
44	29477	98714	22.99	128191
45	31654	98066	24.40	129720
46	30484	98323	23.67	128807
47	32508	97963	24.92	130471
48	28079	98469	22.19	126548
49	30677	97604	23.91	128281
50	29389	98727	22.94	128116
51	32165	98851	24.55	131016
52	29219	98440	22.89	127659
53	31479	97775	24.35	129254
54	29023	98268	22.80	127291
55	32198	98242	24.68	130440
56	28504	96865	22.74	125369
57	30498	96314	24.05	126812
58	28921	95244	23.29	124165
59	32041	95091	25.20	127132
60	27903	95548	22.60	123451
61	30130	94893	24.10	125023
62	29328	96195	23.36	125523
63	30898	96952	24.17	127850
64	27311	94238	22.47	121549
65	31096	94088	24.84	125184
66	29382	95245	23.58	124627
67	31696	96820	24.66	128516
68	27430	96741	22.09	124171
69	29260	97352	23.11	126612
70	28904	98179	22.74	127083
71	31853	97329	24.66	129182
72	27429	97138	22.02	124567
73	30038	97474	23.56	127512
74	29179	97162	23.10	126341
75	31282	96873	24.41	128155
76	27941	96556	22.44	124497
77	29833	96109	23.69	125942
78	28545	97345	22.67	125890
79	30842	97286	24.07	128128
80	27246	97561	21.83	124807
81	29597	97022	23.37	126619
82	28627	96132	22.95	124759
83	30938	96858	24.21	127796
84	27043	96446	21.90	123489
85	29442	96547	23.37	125989
86	28999	96829	23.05	125828
87	30068	96876	23.69	126944
88	26981	96080	21.92	123061
89	29702	96012	23.63	125714
90	28265	95966	22.75	124231
91	29893	96498	23.65	126391
92	27189	95646	22.13	122835
93	28729	95901	23.05	124630
94	27911	95276	22.66	123187
95	29547	95191	23.69	124738
96	26314	95512	21.60	121826
97	29473	95159	23.65	124632
