CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	17291	66630	20.60	83921
2	15853	74056	17.63	89909
3	19923	81034	19.73	100957
4	17344	76552	18.47	93896
5	16800	72024	18.91	88824
6	16184	66676	19.53	82860
7	15703	61005	20.47	76708
8	14732	62989	18.95	77721
9	15480	63813	19.52	79293
10	14368	62785	18.62	77153
11	15178	63474	19.30	78652
12	13866	62750	18.10	76616
13	14774	63002	19.00	77776
14	15374	62929	19.63	78303
15	15388	64086	19.36	79474
16	14289	62795	18.54	77084
17	15085	63529	19.19	78614
18	14663	63447	18.77	78110
19	14691	63818	18.71	78509
20	15339	63409	19.48	78748
21	15415	63052	19.65	78467
22	13505	62844	17.69	76349
23	14864	64274	18.78	79138
24	14076	62901	18.29	76977
25	14100	62299	18.46	76399
26	13697	62459	17.99	76156
27	14318	64786	18.10	79104
28	13814	63645	17.83	77459
29	14002	63497	18.07	77499
30	14216	63239	18.35	77455
31	14563	63230	18.72	77793
32	13935	64133	17.85	78068
33	14249	64209	18.16	78458
34	14266	62527	18.58	76793
35	14429	63962	18.41	78391
36	13777	63535	17.82	77312
37	14501	62720	18.78	77221
38	13735	62735	17.96	76470
39	14259	63982	18.22	78241
40	13893	63297	18.00	77190
41	14665	63034	18.87	77699
42	13939	63200	18.07	77139
43	14514	63087	18.70	77601
44	13767	63319	17.86	77086
45	14422	63302	18.56	77724
46	13852	61313	18.43	75165
47	14306	63362	18.42	77668
48	13844	63089	17.99	76933
49	14101	61612	18.62	75713
50	13583	62734	17.80	76317
51	14429	63242	18.58	77671
52	14130	62519	18.43	76649
53	14245	62929	18.46	77174
54	13127	62369	17.39	75496
55	14241	62817	18.48	77058
56	13599	62130	17.96	75729
57	13682	61797	18.13	75479
58	13668	59945	18.57	73613
59	14228	61153	18.87	75381
60	13902	61747	18.38	75649
61	14535	60026	19.49	74561
62	13986	61241	18.59	75227
63	14365	61212	19.01	75577
64	13718	60231	18.55	73949
65	14242	60064	19.17	74306
66	13599	60835	18.27	74434
67	14252	61871	18.72	76123
68	13094	61920	17.46	75014
69	14172	62717	18.43	76889
70	13799	61790	18.26	75589
71	14064	62872	18.28	76936
72	13830	62699	18.07	76529
73	14177	62098	18.59	76275
74	13015	61407	17.49	74422
75	13706	62440	18.00	76146
76	13246	61773	17.66	75019
77	13538	60993	18.16	74531
