CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	18207	79991	18.54	98198
2	17720	91805	16.18	109525
3	21481	95675	18.34	117156
4	19040	91623	17.21	110663
5	18119	86481	17.32	104600
6	18309	82078	18.24	100387
7	17434	76007	18.66	93441
8	16719	77946	17.66	94665
9	17147	79174	17.80	96321
10	16426	78088	17.38	94514
11	16808	78464	17.64	95272
12	15338	79036	16.25	94374
13	15998	77509	17.11	93507
14	16906	78391	17.74	95297
15	17518	78375	18.27	95893
16	16127	77468	17.23	93595
17	16720	78151	17.62	94871
18	16621	78674	17.44	95295
19	16699	77835	17.66	94534
20	17358	79161	17.98	96519
21	17785	78150	18.54	95935
22	15239	77991	16.35	93230
23	16578	79104	17.33	95682
24	15418	79981	16.16	95399
25	15367	77538	16.54	92905
26	15323	79002	16.24	94325
27	15860	79185	16.69	95045
28	15824	79436	16.61	95260
29	15859	79165	16.69	95024
30	15214	79981	15.98	95195
31	15686	79508	16.48	95194
32	15435	79876	16.19	95311
33	15930	79438	16.70	95368
34	15385	78310	16.42	93695
35	15864	78997	16.72	94861
36	15735	79235	16.57	94970
37	15981	78166	16.97	94147
38	15339	79111	16.24	94450
39	15853	79349	16.65	95202
40	15517	79342	16.36	94859
41	15612	78713	16.55	94325
42	15252	79893	16.03	95145
43	15628	77945	16.70	93573
44	15278	79895	16.05	95173
45	15405	78386	16.42	93791
46	14696	78334	15.80	93030
47	14997	79290	15.91	94287
48	14506	79323	15.46	93829
49	14879	77573	16.09	92452
50	14438	78127	15.60	92565
51	14821	78752	15.84	93573
52	14581	78080	15.74	92661
53	14661	77633	15.89	92294
54	13667	78107	14.89	91774
55	14428	78000	15.61	92428
56	13961	77816	15.21	91777
57	14221	77308	15.54	91529
58	14342	76039	15.87	90381
59	14799	76412	16.23	91211
60	14331	77128	15.67	91459
61	14435	75609	16.03	90044
62	14182	75841	15.75	90023
63	14555	76409	16.00	90964
64	14014	75302	15.69	89316
65	14363	73587	16.33	87950
66	14261	75964	15.81	90225
67	13972	76365	15.47	90337
68	13602	76962	15.02	90564
69	14058	76911	15.45	90969
70	14201	75743	15.79	89944
71	14417	76999	15.77	91416
72	14051	76867	15.45	90918
73	14059	75286	15.74	89345
74	13628	75814	15.24	89442
75	13812	76336	15.32	90148
76	13923	75962	15.49	89885
77	13863	75427	15.53	89290
78	13745	75574	15.39	89319
79	14055	75161	15.75	89216
80	13328	76052	14.91	89380
81	13575	75753	15.20	89328
82	13535	74192	15.43	87727
83	13522	74370	15.38	87892
84	13577	75226	15.29	88803
85	13297	73101	15.39	86398
86	13207	73921	15.16	87128
87	13352	75109	15.09	88461
88	13092	73886	15.05	86978
89	12879	72914	15.01	85793
90	13314	74296	15.20	87610
91	13149	73735	15.13	86884
92	13276	73744	15.26	87020
93	13383	74296	15.26	87679
94	13038	72978	15.16	86016
95	13251	72967	15.37	86218
96	13199	73601	15.21	86800
97	13370	72108	15.64	85478
98	12671	72710	14.84	85381
99	12994	72543	15.19	85537
100	12899	72447	15.11	85346
101	12906	71505	15.29	84411
102	12899	72158	15.17	85057
103	12713	71373	15.12	84086
104	12920	71765	15.26	84685
105	12641	71642	15.00	84283
106	12547	70807	15.05	83354
107	12734	71878	15.05	84612
108	12495	71363	14.90	83858
