CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	13559	67642	16.70	81201
2	13211	76744	14.69	89955
3	16122	78723	17.00	94845
4	13864	75092	15.59	88956
5	13377	71157	15.82	84534
6	13427	68663	16.36	82090
7	13142	62578	17.36	75720
8	12412	64211	16.20	76623
9	12282	64971	15.90	77253
10	12109	64029	15.90	76138
11	12698	64490	16.45	77188
12	11327	66172	14.62	77499
13	11633	64505	15.28	76138
14	12632	64269	16.43	76901
15	12983	64872	16.68	77855
16	11836	64494	15.51	76330
17	12536	64191	16.34	76727
18	12324	66105	15.71	78429
19	12390	64654	16.08	77044
20	12820	66155	16.23	78975
21	12808	65631	16.33	78439
22	11219	64878	14.74	76097
23	12386	64634	16.08	77020
24	11446	66964	14.60	78410
25	11362	65758	14.73	77120
26	11177	65529	14.57	76706
27	11564	66105	14.89	77669
28	11578	65499	15.02	77077
29	11780	65297	15.28	77077
30	11374	66805	14.55	78179
31	11595	64954	15.15	76549
32	11359	66758	14.54	78117
33	11879	65736	15.31	77615
34	11539	65425	14.99	76964
35	11526	65251	15.01	76777
36	11751	66621	14.99	78372
37	11330	65058	14.83	76388
38	11177	64910	14.69	76087
39	11936	65832	15.35	77768
40	11608	66578	14.85	78186
41	11517	65466	14.96	76983
42	11174	66427	14.40	77601
43	11421	65076	14.93	76497
44	11380	66140	14.68	77520
45	11628	65133	15.15	76761
46	11344	65601	14.74	76945
47	11352	65983	14.68	77335
48	10908	67157	13.97	78065
49	11126	64567	14.70	75693
50	11130	65015	14.62	76145
51	11339	64707	14.91	76046
52	10911	64547	14.46	75458
53	11113	64726	14.65	75839
54	10510	64311	14.05	74821
55	11035	64458	14.62	75493
56	10684	65407	14.04	76091
57	11061	64225	14.69	75286
58	10529	62528	14.41	73057
59	11159	62559	15.14	73718
60	11089	64283	14.71	75372
61	11024	63113	14.87	74137
62	10576	63865	14.21	74441
63	10938	64102	14.58	75040
64	10631	63034	14.43	73665
65	11210	61104	15.50	72314
66	10573	63048	14.36	73621
67	10615	64236	14.18	74851
68	10486	64142	14.05	74628
69	10986	63826	14.68	74812
70	10663	63782	14.32	74445
71	11124	63107	14.99	74231
72	10433	64294	13.96	74727
73	10830	62988	14.67	73818
74	10620	63359	14.36	73979
75	10925	63763	14.63	74688
76	10550	63392	14.27	73942
77	10838	62895	14.70	73733
78	10397	63656	14.04	74053
79	10618	62950	14.43	73568
80	10634	63670	14.31	74304
81	10615	62611	14.50	73226
82	10232	61953	14.17	72185
83	10453	61628	14.50	72081
84	10385	63996	13.96	74381
85	10307	61519	14.35	71826
86	10143	62275	14.01	72418
87	10477	62624	14.33	73101
88	10116	62669	13.90	72785
89	10107	61824	14.05	71931
90	9982	62071	13.85	72053
91	10023	61837	13.95	71860
92	10142	62461	13.97	72603
93	10351	62195	14.27	72546
94	9893	61261	13.90	71154
95	10157	61370	14.20	71527
96	9930	62046	13.80	71976
97	10179	60964	14.31	71143
98	9851	61759	13.76	71610
99	10304	61894	14.27	72198
100	9874	61313	13.87	71187
101	10179	60958	14.31	71137
102	10001	61517	13.98	71518
103	9984	60379	14.19	70363
104	9844	61326	13.83	71170
105	9882	60954	13.95	70836
106	9658	59925	13.88	69583
107	9745	60964	13.78	70709
108	9693	61253	13.66	70946
109	9591	59889	13.80	69480
110	9719	59545	14.03	69264
111	9648	60104	13.83	69752
112	9475	59947	13.65	69422
113	9764	59535	14.09	69299
