CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
32	17605	21904	44.56	39509
33	19794	21442	48.00	41236
34	20948	22134	48.62	43082
35	21309	22597	48.53	43906
36	17112	21770	44.01	38882
37	20193	21828	48.05	42021
38	19837	21990	47.43	41827
39	21705	22076	49.58	43781
40	17481	21748	44.56	39229
41	19897	22003	47.49	41900
42	19348	21688	47.15	41036
43	21837	21809	50.03	43646
44	17387	21395	44.83	38782
45	19720	21342	48.02	41062
46	20300	21280	48.82	41580
47	21003	21058	49.93	42061
48	16316	21613	43.02	37929
49	20099	21103	48.78	41202
50	18858	21440	46.80	40298
51	20955	21645	49.19	42600
52	17795	21517	45.27	39312
53	19694	20422	49.09	40116
54	18689	21571	46.42	40260
55	20993	21377	49.55	42370
56	17155	21658	44.20	38813
57	19035	21306	47.19	40341
58	19301	21404	47.42	40705
59	21051	20775	50.33	41826
60	16136	21083	43.35	37219
61	19164	21066	47.64	40230
62	19056	21473	47.02	40529
63	20313	20685	49.55	40998
64	16730	20305	45.17	37035
65	18902	20564	47.89	39466
66	18713	20734	47.44	39447
67	20057	21038	48.81	41095
68	16923	21299	44.28	38222
69	18638	20641	47.45	39279
70	18367	21217	46.40	39584
71	19632	21292	47.97	40924
72	16015	21004	43.26	37019
73	19127	21082	47.57	40209
74	18458	21152	46.60	39610
75	19560	21250	47.93	40810
76	16450	21322	43.55	37772
77	18100	20900	46.41	39000
78	18263	21301	46.16	39564
79	19446	21291	47.74	40737
80	15369	20927	42.34	36296
81	17438	20580	45.87	38018
82	18184	20916	46.51	39100
83	20047	21432	48.33	41479
84	14913	21319	41.16	36232
85	17406	21271	45.00	38677
86	18170	21243	46.10	39413
87	19053	21561	46.91	40614
88	15651	20331	43.50	35982
89	17615	20615	46.08	38230
90	17557	20815	45.75	38372
91	19405	20672	48.42	40077
92	14936	20849	41.74	35785
93	17578	20917	45.66	38495
94	18264	20992	46.53	39256
95	18178	20347	47.18	38525
96	14740	20437	41.90	35177
97	17267	20309	45.95	37576
98	17734	20637	46.22	38371
99	18628	20334	47.81	38962
100	15371	20712	42.60	36083
101	17412	20409	46.04	37821
102	17396	20665	45.71	38061
103	18840	20625	47.74	39465
104	14790	20434	41.99	35224
105	16803	19849	45.84	36652
106	17222	20117	46.12	37339
107	18034	20112	47.28	38146
108	14740	20192	42.20	34932
109	16668	19879	45.61	36547
110	17432	20156	46.38	37588
111	17959	19705	47.68	37664
112	14344	19899	41.89	34243
113	17162	20067	46.10	37229
114	17110	20299	45.74	37409
115	17414	19757	46.85	37171
116	14424	20444	41.37	34868
117	16735	19903	45.68	36638
118	17072	20328	45.65	37400
119	17137	20447	45.60	37584
120	13913	19866	41.19	33779
121	16449	20148	44.95	36597
122	15521	20096	43.58	35617
123	16816	19832	45.89	36648
124	14464	19544	42.53	34008
125	16068	19578	45.08	35646
126	15937	19674	44.75	35611
127	16348	19671	45.39	36019
128	13406	19605	40.61	33011
129	15592	19590	44.32	35182
130	15966	20049	44.33	36015
131	16516	19224	46.21	35740
132	13702	18857	42.08	32559
133	15289	19442	44.02	34731
134	15390	19781	43.76	35171
135	16121	19127	45.74	35248
136	13567	18859	41.84	32426
137	15214	18594	45.00	33808
138	14441	19175	42.96	33616
139	15707	19017	45.23	34724
