gene_id,LCM_15,LCM_16,LCM_20,LCM_21,LCM_26,LCM_27,LCM_4,LCM_5,LCM_8,LCM_9
Pocillopora_acuta_HIv2___RNAseq.g27502.t1,5043,8366,7627,8242,8496,11433,10054,6132,5420,4626
Pocillopora_acuta_HIv2___RNAseq.g27503.t1,0,18,1112,0,348,0,272,10,0,0
Pocillopora_acuta_HIv2___RNAseq.g27507.t1,4,2,6,2,3,2,2,13,0,0
Pocillopora_acuta_HIv2___RNAseq.g27519.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10279.t1b,175,144,342,237,319,190,161,303,93,155
Pocillopora_acuta_HIv2___RNAseq.g27523.t1,244,371,2403,217,1093,0,0,1069,0,209
Pocillopora_acuta_HIv2___TS.g10282.t1,12946,21301,4910,21174,14096,21508,44239,32117,6903,17366
Pocillopora_acuta_HIv2___RNAseq.g27525.t1,0,920,0,182,0,0,917,1149,0,0
Pocillopora_acuta_HIv2___TS.g10284.t2,976,199,600,0,3013,1384,0,1732,139,1495
Pocillopora_acuta_HIv2___RNAseq.g27531.t1,177,22,99,125,59,180,10,109,33,42
Pocillopora_acuta_HIv2___RNAseq.g27538.t1,0,0,0,0,0,0,0,19,0,0
Pocillopora_acuta_HIv2___RNAseq.g27541.t1,108,255,1162,727,1343,204,1081,205,0,0
Pocillopora_acuta_HIv2___RNAseq.g27542.t1,1125,0,851,98,27,0,0,264,0,0
Pocillopora_acuta_HIv2___TS.g10300.t1,753,14,1289,1170,799,0,3,780,10,0
Pocillopora_acuta_HIv2___TS.g10303.t2,340,473,565,12,270,987,0,311,160,345
Pocillopora_acuta_HIv2___RNAseq.g27547.t1,92,2,217,0,76,0,0,278,0,0
Pocillopora_acuta_HIv2___RNAseq.g27548.t1,8,63,10,19,4,5,0,14,22,0
Pocillopora_acuta_HIv2___RNAseq.g27549.t1,335,317,658,1126,428,236,11,1081,700,253
Pocillopora_acuta_HIv2___TS.g10309.t1,159,226,0,53,0,0,8,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27559.t1,61,176,77,4,82,144,231,269,85,0
Pocillopora_acuta_HIv2___TS.g10320.t1,0,0,0,0,0,0,0,19,0,0
Pocillopora_acuta_HIv2___TS.g10321.t1,0,104,9,22,25,176,107,332,0,0
Pocillopora_acuta_HIv2___RNAseq.g27564.t1,0,0,11,9,0,0,0,8,0,18
Pocillopora_acuta_HIv2___RNAseq.g27560.t1,74,348,147,0,89,537,360,787,78,0
Pocillopora_acuta_HIv2___RNAseq.g27565.t1,73,252,120,6,101,305,126,513,29,0
Pocillopora_acuta_HIv2___RNAseq.g27566.t1,836,2479,1096,2222,133,3046,474,501,1090,7667
Pocillopora_acuta_HIv2___RNAseq.g27567.t1,0,0,181,0,395,85,0,100,0,0
Pocillopora_acuta_HIv2___RNAseq.g27568.t1,247,427,347,0,239,993,222,896,1807,706
Pocillopora_acuta_HIv2___TS.g10330.t2,297,1140,940,195,121,5,211,71,779,0
Pocillopora_acuta_HIv2___RNAseq.g27572.t1,458,14,1238,614,2733,1078,0,913,182,184
Pocillopora_acuta_HIv2___RNAseq.g27574.t1,79,221,50,1389,71,393,310,1732,0,0
Pocillopora_acuta_HIv2___RNAseq.179_t,0,168,0,0,64,16,0,77,0,0
Pocillopora_acuta_HIv2___RNAseq.g27576.t2,0,380,571,30,317,0,361,818,0,0
Pocillopora_acuta_HIv2___RNAseq.g27577.t1,726,1500,611,243,1477,1190,3673,1092,1790,45
Pocillopora_acuta_HIv2___TS.g10337.t2,1738,995,816,885,2434,2636,1105,379,113,223
Pocillopora_acuta_HIv2___TS.g10338.t1,1349,0,0,1152,2363,773,0,804,821,0
Pocillopora_acuta_HIv2___TS.g10343.t1,3,0,28,0,48,0,0,73,0,0
Pocillopora_acuta_HIv2___RNAseq.g27585.t1,68,44,50,184,67,87,1,14,0,47
Pocillopora_acuta_HIv2___RNAseq.g27591.t1,1141,1281,1170,498,2269,1091,1118,1129,2319,24
Pocillopora_acuta_HIv2___RNAseq.g27592.t1,3635,4964,3893,4357,3483,5945,8598,4966,1468,100
Pocillopora_acuta_HIv2___RNAseq.199_t,1391,1194,571,758,1757,736,1816,1654,0,0
Pocillopora_acuta_HIv2___RNAseq.g27596.t1,116,0,173,4,2153,234,623,450,236,0
Pocillopora_acuta_HIv2___RNAseq.g27598.t1,229,281,641,86,109,0,993,0,206,398
Pocillopora_acuta_HIv2___RNAseq.g27600.t1,219,397,169,196,907,160,545,680,709,742
Pocillopora_acuta_HIv2___RNAseq.g27602.t1,0,0,0,0,0,0,0,483,0,0
Pocillopora_acuta_HIv2___RNAseq.g27605.t1,0,0,0,0,184,179,514,242,0,0
Pocillopora_acuta_HIv2___RNAseq.213_t,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27607.t1,480,0,637,807,935,0,495,0,181,0
Pocillopora_acuta_HIv2___RNAseq.g27609.t1,1131,0,957,14,2491,563,7,618,2134,186
Pocillopora_acuta_HIv2___RNAseq.g27614.t1,14,17,0,0,71,171,7,111,7,78
Pocillopora_acuta_HIv2___RNAseq.g27617.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27618.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27616.t1,355,0,0,0,214,0,0,846,0,0
Pocillopora_acuta_HIv2___RNAseq.g27621.t1,0,857,0,1730,69,7331,3952,0,0,663
Pocillopora_acuta_HIv2___TS.g10384.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27623.t1,200,0,0,0,0,0,0,0,170,0
Pocillopora_acuta_HIv2___RNAseq.g27624.t1,319,0,180,0,256,0,0,679,0,0
Pocillopora_acuta_HIv2___TS.g10386.t1,1127,57,892,0,352,0,76,2399,1628,0
