#Mapping quality	mapping quality
0.0	4293712.0
1.0	1818436.0
2.0	1.0666816E7
3.0	3320868.0
4.0	5346231.0
5.0	4121150.0
6.0	2.8277648E7
7.0	2580764.0
8.0	2450666.0
9.0	1628690.0
10.0	1384795.0
11.0	1646091.0
12.0	2148643.0
13.0	1136383.0
14.0	1385942.0
15.0	1648345.0
16.0	1237778.0
17.0	1723437.0
18.0	1778176.0
19.0	987829.0
20.0	886941.0
21.0	1742664.0
22.0	1513556.0
23.0	2734653.0
24.0	2655210.0
25.0	1403029.0
26.0	1149823.0
27.0	990903.0
28.0	1089034.0
29.0	1142711.0
30.0	1446362.0
31.0	1294901.0
32.0	1943480.0
33.0	1743603.0
34.0	1673296.0
35.0	1808779.0
36.0	2346408.0
37.0	2246084.0
38.0	1957449.0
39.0	1549593.0
40.0	5002935.0
41.0	1.1043813E7
42.0	5.3386512E7
