#Insert size (bp)	insert size
383.0	5066.0
384.0	5146.0
385.0	4895.0
386.0	4859.0
387.0	4924.0
388.0	5127.0
389.0	4994.0
390.0	4905.0
391.0	4800.0
392.0	4837.0
393.0	4812.0
394.0	4815.0
395.0	4737.0
396.0	4803.0
397.0	4845.0
398.0	4751.0
399.0	4722.0
400.0	4554.0
401.0	4541.0
402.0	4593.0
403.0	4588.0
404.0	4501.0
405.0	4543.0
406.0	4334.0
407.0	4447.0
408.0	4457.0
409.0	4405.0
410.0	4360.0
411.0	4271.0
412.0	4324.0
413.0	4255.0
414.0	4299.0
415.0	4224.0
416.0	4286.0
417.0	4216.0
418.0	4115.0
419.0	4047.0
420.0	4027.0
421.0	4010.0
422.0	4041.0
423.0	3968.0
424.0	3924.0
425.0	3868.0
426.0	3827.0
427.0	3850.0
428.0	3898.0
429.0	3865.0
430.0	3786.0
431.0	3756.0
432.0	3709.0
433.0	3749.0
434.0	3846.0
435.0	3661.0
436.0	3625.0
437.0	3495.0
438.0	3656.0
439.0	3661.0
440.0	3621.0
441.0	3479.0
442.0	3462.0
443.0	3529.0
444.0	3403.0
445.0	3404.0
446.0	3435.0
447.0	3398.0
448.0	3480.0
449.0	3315.0
450.0	3260.0
451.0	3225.0
452.0	3159.0
453.0	3297.0
454.0	3382.0
455.0	3378.0
456.0	3292.0
457.0	3230.0
458.0	3230.0
459.0	3314.0
460.0	3327.0
461.0	3258.0
462.0	3187.0
463.0	3151.0
464.0	3093.0
465.0	3067.0
466.0	2985.0
467.0	2952.0
468.0	3046.0
469.0	3019.0
470.0	2935.0
471.0	2901.0
472.0	2975.0
473.0	2997.0
474.0	2920.0
475.0	2931.0
476.0	2936.0
477.0	3010.0
478.0	2863.0
479.0	2915.0
480.0	2974.0
481.0	2848.0
482.0	2977.0
483.0	2899.0
484.0	2935.0
485.0	2966.0
486.0	2970.0
487.0	2919.0
488.0	3001.0
489.0	2904.0
490.0	3030.0
491.0	2938.0
492.0	3025.0
493.0	3137.0
494.0	3088.0
495.0	3127.0
496.0	3201.0
497.0	3147.0
498.0	3225.0
499.0	3405.0
500.0	3714.0
