"","LCM_1","LCM_11","LCM_12","LCM_17","LCM_18","LCM_24","LCM_25","LCM_3","LCM_32","LCM_33"
"Pocillopora_acuta_HIv2___RNAseq.g27442.t1",NA,NA,NA,NA,40,0,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10202.t1",NA,5.888888889,0,5.2,20,4.75,5.5,0,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27443.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10204.t2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27445.t1",NA,NA,NA,NA,NA,7,0,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27446.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10207.t1",0,NA,0,0,0,7.1,0,0,0,NA
"Pocillopora_acuta_HIv2___TS.g10208.t1",NA,NA,NA,4.166666667,NA,0,0,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27448.t1",3.166666667,3.5,5.944444444,9,8.185714286,3.194594595,3.540983607,45.28571429,3,8.142857143
"Pocillopora_acuta_HIv2___TS.g10210.t1",3.727272727,0,4.470588235,0,2,2.662921348,3.206896552,0,0,0
"Pocillopora_acuta_HIv2___TS.g10211.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27451.t1",2.457142857,6.666666667,6.666666667,2.962962963,9.14893617,5.021084337,5.666666667,44.52173913,0.8695652174,NA
"Pocillopora_acuta_HIv2___RNAseq.g27452.t1",11.22222222,3.333333333,0,13.13043478,21.3968254,5.128395062,5.512605042,0,1.111111111,96.6
"Pocillopora_acuta_HIv2___RNAseq.g27453.t1",NA,0,0,13.4,15.15789474,3.25,3.5,50,20,NA
"Pocillopora_acuta_HIv2___RNAseq.g27454.t1",0,5.714285714,0,2.769230769,16.2037037,2.867612293,4.348837209,10,34.66666667,97.15
"Pocillopora_acuta_HIv2___TS.g10216.t2",1.294117647,14.66666667,13.04347826,39.79166667,20.625,6.815668203,9.165354331,41.375,94.44444444,0
"Pocillopora_acuta_HIv2___RNAseq.g27456.t1",0,NA,NA,0,NA,0,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27457.t1",NA,NA,NA,NA,4.888888889,2,0,NA,0,NA
"Pocillopora_acuta_HIv2___RNAseq.g27458.t1",0,NA,NA,NA,NA,3.384615385,0,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27459.t1",NA,NA,NA,NA,0,0,0,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27460.t1",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27461.t1",NA,NA,NA,NA,20,3.423076923,0,0,NA,100
"Pocillopora_acuta_HIv2___RNAseq.g27462.t1",NA,NA,NA,10,22,8.215909091,10.85,20,0,0
"Pocillopora_acuta_HIv2___RNAseq.g27463.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27464.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27465.t1",NA,8.75,NA,NA,NA,0,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27466.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27467.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27468.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27469.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27470.t1",NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27471.t1",NA,NA,NA,NA,4.5,9.944444444,6.666666667,NA,NA,100
"Pocillopora_acuta_HIv2___TS.g10231.t1",NA,0,NA,14.28571429,8,5.831775701,10,1.142857143,NA,NA
"Pocillopora_acuta_HIv2___TS.g10232.t1",5.666666667,NA,NA,0,NA,20,0,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27474.t1",0,0,20,18.15384615,3.967741935,2.53358209,5.185185185,NA,12.5,NA
"Pocillopora_acuta_HIv2___RNAseq.g27475.t1",0,NA,0,NA,0,4.403508772,28.57142857,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27476.t1",1.454545455,54.6,41.17647059,8.363636364,22.57894737,4.630434783,7.978723404,NA,NA,2.857142857
"Pocillopora_acuta_HIv2___RNAseq.g27477.t1",NA,NA,NA,0,NA,1.777777778,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27478.t1",NA,NA,NA,NA,NA,6.727272727,0,NA,1.571428571,NA
"Pocillopora_acuta_HIv2___RNAseq.g27479.t1",0,NA,NA,NA,0,2.666666667,0,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27480.t1",0,NA,0,NA,NA,3.841584158,5.813953488,NA,6.818181818,NA
"Pocillopora_acuta_HIv2___RNAseq.g27481.t1",NA,NA,NA,0,NA,11.625,80,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27482.t1",NA,NA,19.57142857,50,78.25,46.63636364,60,NA,16,NA
"Pocillopora_acuta_HIv2___RNAseq.g27483.t1",NA,NA,NA,0,20,7.829545455,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10243.t2",60,100,64,14.22222222,30,44.13432836,44.44444444,0,86.66666667,92
"Pocillopora_acuta_HIv2___RNAseq.g27485.t1",35.2,NA,NA,0,NA,6.5,NA,NA,0,NA
"Pocillopora_acuta_HIv2___RNAseq.g27486.t1",NA,0,NA,0,36.6,11.37234043,2.285714286,0,NA,0
"Pocillopora_acuta_HIv2___RNAseq.97_t",NA,NA,NA,60,NA,3.047619048,NA,0,NA,NA
"Pocillopora_acuta_HIv2___TS.g10247.t2",NA,NA,NA,NA,NA,5.714285714,6.666666667,100,4,NA
"Pocillopora_acuta_HIv2___RNAseq.g27488.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27489.t1",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
