"sample","efficiency"
"LCM_1",0.028568408509984
"LCM_11",0.0533229123119521
"LCM_12",0.0401182095488274
"LCM_17",0.0393430066492284
"LCM_18",0.0203062001512761
"LCM_24",0.000944705821167125
"LCM_25",0.00687721683536454
"LCM_3",0.0630899778555905
"LCM_32",0.0827118989139145
"LCM_33",0.235553724035754
