"sample","efficiency","total_CHH_CHG"
"LCM_1",0.888883009307192,37587708
"LCM_11",0.812049042214985,29065082
"LCM_12",0.798932738557227,36851514
"LCM_17",0.747953598030206,41245318
"LCM_18",0.722733895592278,56714675
"LCM_24",0.875543075678573,88535773
"LCM_25",0.871591899852285,63032332
"LCM_3",0.662540922677014,32667401
"LCM_32",0.783288078758729,25937341
"LCM_33",0.630805987913647,10357798
