#Coverage	Number of genomic locations
0.0	2.59902937E8
1.0	1.7317092E7
2.0	2.3162972E7
3.0	2.4050746E7
4.0	2.3061162E7
5.0	1.208346E7
6.0	1.3454423E7
7.0	5867639.0
8.0	8530021.0
9.0	3656115.0
10.0	4692424.0
11.0	2264091.0
12.0	2528591.0
13.0	1348149.0
14.0	1431093.0
15.0	794142.0
16.0	808123.0
17.0	471614.0
18.0	477278.0
19.0	286290.0
20.0	282058.0
21.0	179415.0
22.0	172842.0
23.0	119771.0
24.0	109080.0
25.0	77618.0
26.0	74773.0
27.0	54514.0
28.0	51061.0
29.0	40889.0
30.0	35821.0
31.0	31352.0
32.0	28746.0
33.0	24230.0
34.0	22260.0
35.0	18810.0
36.0	18783.0
37.0	17268.0
38.0	16220.0
39.0	13972.0
40.0	13721.0
41.0	12739.0
42.0	11970.0
43.0	11233.0
44.0	11011.0
45.0	9782.0
46.0	9712.0
47.0	9119.0
48.0	8936.0
49.0	8477.0
50.0	8424.0
51.0	7769.0
52.0	7635.0
53.0	7289.0
54.0	7462.0
55.0	6681.0
56.0	6811.0
57.0	6470.0
58.0	6589.0
59.0	6117.0
60.0	6190.0
61.0	5958.0
62.0	5829.0
63.0	5435.0
64.0	5573.0
65.0	5360.0
66.0	5386.0
67.0	5119.0
68.0	4837.0
69.0	4575.0
70.0	4748.0
71.0	4461.0
72.0	4558.0
73.0	4224.0
74.0	4427.0
75.0	4309.0
76.0	4153.0
77.0	3973.0
78.0	4145.0
79.0	3839.0
80.0	3777.0
81.0	3900.0
82.0	3914.0
83.0	3629.0
84.0	3692.0
85.0	3611.0
86.0	3676.0
87.0	3533.0
88.0	3584.0
89.0	3409.0
90.0	3499.0
91.0	3266.0
92.0	3164.0
93.0	3106.0
94.0	3132.0
95.0	3063.0
96.0	2957.0
97.0	2897.0
98.0	2958.0
99.0	2751.0
100.0	2747.0
101.0	2840.0
102.0	2920.0
103.0	2842.0
104.0	2832.0
105.0	2652.0
106.0	2491.0
107.0	2423.0
108.0	2563.0
109.0	2528.0
110.0	2551.0
111.0	2549.0
112.0	2394.0
113.0	2304.0
114.0	2398.0
115.0	2444.0
116.0	2337.0
117.0	2352.0
118.0	2356.0
119.0	2177.0
120.0	2261.0
121.0	2145.0
122.0	2207.0
123.0	2107.0
124.0	2161.0
125.0	2125.0
126.0	2144.0
127.0	2251.0
128.0	2144.0
129.0	2046.0
130.0	2114.0
131.0	2066.0
132.0	2095.0
133.0	2002.0
134.0	1997.0
135.0	1938.0
136.0	1870.0
137.0	1919.0
138.0	1892.0
139.0	1927.0
140.0	1801.0
141.0	1810.0
142.0	1811.0
143.0	1859.0
144.0	1856.0
145.0	1697.0
146.0	1812.0
147.0	1793.0
148.0	1755.0
149.0	1663.0
150.0	1716.0
151.0	1665.0
152.0	1678.0
153.0	1676.0
154.0	1641.0
155.0	1526.0
156.0	1623.0
157.0	1629.0
158.0	1501.0
159.0	1491.0
160.0	1462.0
161.0	1476.0
162.0	1436.0
163.0	1477.0
164.0	1399.0
165.0	1399.0
166.0	1374.0
167.0	1364.0
168.0	1264.0
169.0	1340.0
170.0	1376.0
171.0	1304.0
172.0	1229.0
173.0	1279.0
174.0	1271.0
175.0	1245.0
176.0	1243.0
177.0	1231.0
178.0	1221.0
179.0	1290.0
180.0	1182.0
181.0	1159.0
182.0	1179.0
183.0	1166.0
184.0	1298.0
185.0	1157.0
186.0	1144.0
187.0	1189.0
188.0	1243.0
189.0	1237.0
190.0	1152.0
191.0	1137.0
192.0	1160.0
193.0	1107.0
194.0	1160.0
195.0	1117.0
196.0	1046.0
197.0	1119.0
198.0	1074.0
199.0	1128.0
200.0	1176.0
201.0	1162.0
202.0	1159.0
203.0	1032.0
204.0	1072.0
205.0	971.0
206.0	1030.0
207.0	1016.0
208.0	1040.0
209.0	1073.0
210.0	944.0
211.0	965.0
212.0	911.0
213.0	941.0
214.0	922.0
215.0	917.0
216.0	963.0
217.0	931.0
218.0	909.0
219.0	1021.0
220.0	968.0
221.0	886.0
222.0	974.0
223.0	872.0
224.0	810.0
225.0	854.0
226.0	877.0
227.0	864.0
228.0	902.0
229.0	899.0
230.0	768.0
231.0	833.0
232.0	833.0
233.0	820.0
234.0	796.0
235.0	748.0
236.0	808.0
237.0	763.0
238.0	748.0
239.0	812.0
240.0	794.0
241.0	758.0
242.0	749.0
243.0	776.0
244.0	783.0
245.0	737.0
246.0	795.0
247.0	760.0
248.0	665.0
249.0	651.0
250.0	695.0
251.0	745.0
252.0	722.0
253.0	689.0
254.0	733.0
255.0	694.0
256.0	725.0
257.0	692.0
258.0	664.0
259.0	671.0
260.0	667.0
261.0	642.0
262.0	682.0
263.0	630.0
264.0	642.0
265.0	595.0
266.0	542.0
267.0	549.0
268.0	589.0
269.0	564.0
270.0	609.0
271.0	617.0
272.0	539.0
273.0	537.0
274.0	602.0
275.0	532.0
276.0	542.0
277.0	499.0
278.0	584.0
279.0	534.0
280.0	552.0
281.0	512.0
282.0	559.0
283.0	509.0
284.0	531.0
285.0	537.0
286.0	539.0
287.0	501.0
288.0	540.0
289.0	502.0
290.0	529.0
291.0	509.0
292.0	460.0
293.0	529.0
294.0	513.0
295.0	543.0
296.0	473.0
297.0	486.0
298.0	445.0
299.0	520.0
300.0	440.0
301.0	475.0
302.0	482.0
303.0	485.0
304.0	506.0
305.0	495.0
306.0	456.0
307.0	467.0
308.0	443.0
309.0	430.0
310.0	425.0
311.0	406.0
312.0	451.0
313.0	425.0
314.0	457.0
315.0	453.0
316.0	445.0
317.0	452.0
318.0	471.0
319.0	419.0
320.0	407.0
321.0	410.0
322.0	418.0
323.0	358.0
324.0	387.0
325.0	413.0
326.0	393.0
327.0	407.0
328.0	402.0
329.0	397.0
330.0	424.0
331.0	376.0
332.0	366.0
333.0	407.0
334.0	371.0
335.0	378.0
336.0	396.0
337.0	385.0
338.0	387.0
339.0	386.0
340.0	356.0
341.0	418.0
342.0	400.0
343.0	375.0
344.0	346.0
345.0	358.0
346.0	389.0
347.0	335.0
348.0	361.0
349.0	348.0
350.0	340.0
351.0	351.0
352.0	320.0
353.0	316.0
354.0	306.0
355.0	316.0
356.0	328.0
357.0	330.0
358.0	348.0
359.0	327.0
360.0	334.0
361.0	307.0
362.0	297.0
363.0	309.0
364.0	274.0
365.0	333.0
366.0	281.0
367.0	301.0
368.0	366.0
369.0	294.0
370.0	261.0
371.0	329.0
372.0	298.0
373.0	263.0
374.0	283.0
375.0	290.0
376.0	276.0
377.0	294.0
378.0	286.0
379.0	308.0
380.0	281.0
381.0	292.0
382.0	262.0
383.0	280.0
384.0	262.0
385.0	275.0
386.0	303.0
387.0	297.0
388.0	260.0
389.0	283.0
390.0	249.0
391.0	320.0
392.0	299.0
393.0	303.0
394.0	264.0
395.0	271.0
396.0	279.0
397.0	286.0
398.0	295.0
399.0	260.0
400.0	263.0
401.0	221.0
402.0	237.0
403.0	228.0
404.0	282.0
405.0	282.0
406.0	218.0
407.0	266.0
408.0	222.0
409.0	201.0
410.0	232.0
411.0	206.0
412.0	246.0
413.0	262.0
414.0	232.0
415.0	228.0
416.0	217.0
417.0	219.0
418.0	208.0
419.0	223.0
420.0	227.0
421.0	231.0
422.0	198.0
423.0	199.0
424.0	239.0
425.0	223.0
426.0	214.0
427.0	231.0
428.0	222.0
429.0	241.0
430.0	223.0
431.0	225.0
432.0	217.0
433.0	196.0
434.0	227.0
435.0	258.0
436.0	227.0
437.0	197.0
438.0	207.0
439.0	210.0
440.0	195.0
441.0	200.0
442.0	237.0
443.0	226.0
444.0	236.0
445.0	197.0
446.0	225.0
447.0	180.0
448.0	222.0
449.0	212.0
450.0	203.0
451.0	205.0
452.0	214.0
453.0	201.0
454.0	207.0
455.0	227.0
456.0	177.0
457.0	201.0
458.0	200.0
459.0	182.0
460.0	198.0
461.0	190.0
462.0	181.0
463.0	190.0
464.0	197.0
465.0	186.0
466.0	200.0
467.0	176.0
468.0	188.0
469.0	163.0
470.0	190.0
471.0	210.0
472.0	204.0
473.0	200.0
474.0	165.0
475.0	195.0
476.0	177.0
477.0	172.0
478.0	160.0
479.0	183.0
480.0	168.0
481.0	191.0
482.0	224.0
483.0	187.0
484.0	189.0
485.0	202.0
486.0	191.0
487.0	220.0
488.0	161.0
489.0	168.0
490.0	199.0
491.0	163.0
492.0	146.0
493.0	194.0
494.0	195.0
495.0	162.0
496.0	168.0
497.0	140.0
498.0	152.0
499.0	180.0
500.0	139.0
501.0	150.0
502.0	164.0
503.0	145.0
504.0	156.0
505.0	135.0
506.0	136.0
507.0	149.0
508.0	141.0
509.0	154.0
510.0	149.0
511.0	149.0
512.0	128.0
513.0	137.0
514.0	154.0
515.0	184.0
516.0	149.0
517.0	155.0
518.0	157.0
519.0	153.0
520.0	149.0
521.0	159.0
522.0	169.0
523.0	138.0
524.0	177.0
525.0	149.0
526.0	146.0
527.0	147.0
528.0	153.0
529.0	159.0
530.0	140.0
531.0	126.0
532.0	122.0
533.0	125.0
534.0	152.0
535.0	122.0
536.0	133.0
537.0	126.0
538.0	120.0
539.0	132.0
540.0	126.0
541.0	111.0
542.0	113.0
543.0	118.0
544.0	111.0
545.0	122.0
546.0	100.0
547.0	114.0
548.0	110.0
549.0	126.0
550.0	106.0
551.0	102.0
552.0	109.0
553.0	101.0
554.0	129.0
555.0	123.0
556.0	104.0
557.0	116.0
558.0	113.0
559.0	122.0
560.0	124.0
561.0	103.0
562.0	110.0
563.0	98.0
564.0	122.0
565.0	109.0
566.0	94.0
567.0	115.0
568.0	84.0
569.0	100.0
570.0	127.0
571.0	89.0
572.0	90.0
573.0	89.0
574.0	91.0
575.0	103.0
576.0	90.0
577.0	85.0
578.0	123.0
579.0	92.0
580.0	84.0
581.0	113.0
582.0	87.0
583.0	91.0
584.0	93.0
585.0	99.0
586.0	86.0
587.0	83.0
588.0	92.0
589.0	86.0
590.0	101.0
591.0	95.0
592.0	84.0
593.0	99.0
594.0	83.0
595.0	95.0
596.0	86.0
597.0	77.0
598.0	85.0
599.0	76.0
600.0	97.0
601.0	88.0
602.0	79.0
603.0	82.0
604.0	87.0
605.0	88.0
606.0	87.0
607.0	108.0
608.0	82.0
609.0	128.0
610.0	98.0
611.0	79.0
612.0	87.0
613.0	95.0
614.0	89.0
615.0	93.0
616.0	110.0
617.0	81.0
618.0	87.0
619.0	101.0
620.0	82.0
621.0	85.0
622.0	80.0
623.0	87.0
624.0	101.0
625.0	91.0
626.0	113.0
627.0	95.0
628.0	98.0
629.0	99.0
630.0	95.0
631.0	84.0
632.0	101.0
633.0	104.0
634.0	110.0
635.0	96.0
636.0	99.0
637.0	95.0
638.0	93.0
639.0	101.0
640.0	89.0
641.0	107.0
642.0	98.0
643.0	108.0
644.0	87.0
645.0	70.0
646.0	84.0
647.0	90.0
648.0	86.0
649.0	60.0
650.0	85.0
651.0	74.0
652.0	87.0
653.0	71.0
654.0	72.0
655.0	87.0
