#Position (bp)	mapping quality
510360.0	15.469798494647085
1531079.0	23.46599568345242
2551798.0	16.716446472828295
3572517.0	28.357255126328486
4593236.0	26.271858412565575
5613955.0	25.49626408477206
6634674.0	26.37207394603463
7655393.0	21.193510717326788
8676112.0	19.81123017049008
9696831.0	23.635687603550114
1.071755E7	17.835113660548693
1.1738269E7	20.968572155327102
1.2758988E7	16.075056065475227
1.3779707E7	13.775662176697237
1.4800426E7	23.338493952007504
1.5542849E7	19.510893262029256
1.60532085E7	17.510706681430054
1.6841864E7	19.99574999224846
1.7862583E7	22.71994617479199
1.8883302E7	28.650174984644494
1.9904021E7	22.69887324420676
2.092474E7	29.27845958804459
2.1945459E7	30.59690419304267
2.2966178E7	23.846063267020913
2.3986897E7	30.70286836089222
2.5007616E7	30.702349429729068
2.6028335E7	27.24948835087408
2.7049054E7	30.41947893934776
2.8069773E7	25.013370635454603
2.90063125E7	21.715208825596182
2.9516672E7	13.877434853526836
3.0111211E7	32.368597346214116
3.113193E7	20.115192705111376
3.2152649E7	25.632111171191042
3.3173368E7	20.67166464217026
3.4194087E7	24.434427826932293
3.5214806E7	22.85663324583901
3.6235525E7	24.551692470250238
3.7256244E7	25.0499798152701
3.8276963E7	19.918533629857027
3.9297682E7	23.77778598750732
4.0318401E7	17.256208027919897
4.08600465E7	37.800653676513505
4.1370406E7	21.250888775746457
4.2359839E7	25.129619279047326
4.3380558E7	23.23240880797421
4.4401277E7	28.314375651287
4.5421996E7	22.56422608281168
4.6442715E7	29.00642858931175
4.7463434E7	27.025369999182853
4.8484153E7	20.193700682407552
4.9504872E7	21.51557256232879
5.0525591E7	23.422445269269147
5.154631E7	22.81383877498504
5.2132722E7	33.47077836079865
5.26430815E7	28.51276094073637
5.3587748E7	24.598955039761467
5.4608467E7	21.712129534380193
5.5629186E7	19.254782360261853
5.6649905E7	17.074125640951493
5.7670624E7	23.708955881973868
5.8691343E7	15.208873436980394
5.9712062E7	24.400666944833596
6.0732781E7	29.150308333684176
6.17535E7	28.450931623447577
6.24094815E7	30.6584698086844
6.2919841E7	20.22709081680918
6.3794938E7	29.18892666134827
6.4815657E7	20.666234399084146
6.5836376E7	17.796291718991586
6.6857095E7	18.755396403380168
6.7877814E7	22.707148815222816
6.8898533E7	30.716306579299804
6.9919252E7	15.96152090808237
7.0939971E7	13.167372820703672
7.1904594E7	18.7801107915352
7.24149535E7	29.942145408814202
7.2981409E7	12.463598123670456
7.4002128E7	9.534852464255412
7.5022847E7	24.616607659116532
7.6043566E7	19.384780009182442
7.7064285E7	22.733331359115134
7.8085004E7	22.35190802815321
7.9105723E7	23.974875222512754
7.9997623E7	24.614015516391756
8.05079825E7	22.826695160565816
8.1147161E7	28.424419781909474
8.216788E7	20.76530658024882
8.3188599E7	7.347891815888932
8.4209318E7	10.328899599429683
8.5230037E7	9.128041633919409
8.6250756E7	9.17346368558991
8.7271475E7	8.883880896542186
8.78641845E7	17.478245998084553
8.8374544E7	11.086460725859224
8.9312913E7	28.781230340464138
9.0333632E7	31.221731744780417
9.1354351E7	25.785812218860325
9.237507E7	24.00116074416178
9.3395789E7	20.555041792432267
9.4416508E7	21.186320828152127
9.5112036E7	23.23734846800472
9.56223955E7	28.627989694069083
9.6457946E7	14.51641506488704
9.7478665E7	13.331131988819406
9.8499384E7	27.073611573160086
9.9520103E7	21.26767072620402
1.00540822E8	18.30090793825738
1.01386574E8	16.025404475452756
1.018969335E8	12.119858721329845
1.0258226E8	25.965555715097437
1.03602979E8	26.51975347942503
1.04623698E8	29.609203429986334
1.05644417E8	29.245862328636623
1.06665136E8	32.34605178618078
1.076372215E8	30.001260893875003
1.08147581E8	21.98808267336882
1.08706574E8	23.630294386779212
1.09727293E8	19.518870966499428
1.10748012E8	23.099297707408972
1.11768731E8	9.245689102236854
1.1278945E8	16.52646811035359
1.13638349E8	15.7197935972768
1.141487085E8	8.53051358863162
1.14830888E8	9.377685872926696
1.15851607E8	14.486571948277744
1.16872326E8	10.108885385827982
1.17893045E8	12.7181639870105
1.18913764E8	6.680669349835782
1.196339415E8	6.929814506201778
1.20144301E8	22.496810769671388
1.20955202E8	26.80146683277357
1.21975921E8	27.061069838537623
1.2299664E8	31.17704260518851
1.24017359E8	33.12822582287291
1.246429705E8	25.08256419915866
1.2515333E8	6.532038702598826
1.26058797E8	17.36323049955852
1.27079516E8	11.057193220828378
1.28100235E8	7.120176182994101
1.290844785E8	19.6227676806409
1.29594838E8	6.141888727669146
1.30141673E8	12.107691332299753
1.31162392E8	18.87224682245533
1.32183111E8	17.44534038913992
1.3320383E8	13.556696660941174
1.33904959E8	9.364915811363788
1.344153185E8	23.89486165604315
1.35245268E8	28.304579850989732
1.36265987E8	8.366005322835003
1.37286706E8	6.469186598789533
1.379154055E8	18.53665208476034
1.38425765E8	26.906322903212928
1.39328144E8	22.495257002435338
1.40348863E8	24.46225250630949
1.413579265E8	25.0928383806871
1.41868286E8	24.67995218579235
1.42390301E8	21.78383377093793
1.4341102E8	31.540446643929158
1.44431739E8	26.038977613974737
1.452602935E8	22.54922137810452
1.45770653E8	19.557244539219642
1.46473177E8	25.796818665666844
1.47493896E8	24.439477434585367
1.48514615E8	27.0784410813565
1.491610745E8	11.319116114350836
1.49671434E8	21.277066183409737
1.50556053E8	23.92130142896738
1.51576772E8	27.46085043533451
1.524486985E8	27.99762472265959
1.52959058E8	29.04189409732998
1.5361821E8	8.757013222355457
1.54638929E8	9.08337371794629
1.55659648E8	9.986301542183023
1.562379865E8	6.013659655472808
1.56748346E8	14.793533249584181
1.57701086E8	8.604997356834895
1.58721805E8	22.580308450750525
