#Coverage (X)	Coverage
1.0	36.343161287897665
2.0	32.10176507617791
3.0	26.42856418927549
4.0	20.537924873307546
5.0	14.88965984447617
6.0	11.930113203015395
7.0	8.63478285868996
8.0	7.197648851066788
9.0	5.108429786151618
10.0	4.212954246112233
11.0	3.0636602781999045
12.0	2.509126815515245
13.0	1.8898105764845354
14.0	1.5596146023894732
15.0	1.209103533393673
16.0	1.0145979622292174
17.0	0.8166680886220519
18.0	0.7011578266800313
19.0	0.5842603071001236
20.0	0.5141406056252293
21.0	0.4450574285718716
22.0	0.40111413247309713
23.0	0.3587807312284781
24.0	0.3294457675016673
25.0	0.3027293015514658
26.0	0.2837186794931341
27.0	0.2654048702843568
28.0	0.25205300537045616
29.0	0.239546867967789
30.0	0.22953211204335844
31.0	0.2207586382002944
32.0	0.2130797361057688
33.0	0.20603910968291927
34.0	0.20010456650385322
35.0	0.1946525264227148
36.0	0.1900454790765167
37.0	0.18544504471694268
38.0	0.1812156723844538
39.0	0.1772429819030492
40.0	0.17382088378921878
41.0	0.170460261958425
42.0	0.167340156900309
43.0	0.16440839949818553
44.0	0.16165715213827525
45.0	0.15896027822391545
46.0	0.1565644176635459
47.0	0.15418570188330705
48.0	0.15195222688331
49.0	0.149763573237081
50.0	0.14768734036341868
51.0	0.14562408853755926
