#Duplication rate	Coverage
1.0	1503232.0
2.0	809032.0
3.0	344122.0
4.0	183903.0
5.0	94813.0
6.0	39249.0
7.0	19279.0
8.0	10111.0
9.0	6090.0
10.0	4018.0
11.0	2948.0
12.0	2207.0
13.0	1852.0
14.0	1524.0
15.0	1184.0
16.0	1129.0
17.0	969.0
18.0	881.0
19.0	740.0
20.0	628.0
21.0	602.0
22.0	555.0
23.0	462.0
24.0	380.0
25.0	390.0
26.0	397.0
27.0	348.0
28.0	278.0
29.0	304.0
30.0	250.0
31.0	258.0
32.0	231.0
33.0	222.0
34.0	192.0
35.0	173.0
36.0	176.0
37.0	167.0
38.0	153.0
39.0	153.0
40.0	145.0
41.0	119.0
42.0	106.0
43.0	108.0
44.0	98.0
45.0	108.0
46.0	97.0
47.0	78.0
48.0	83.0
49.0	89.0
50.0	2477.0
