#Insert size (bp)	insert size
29.0	4.0
30.0	10.0
31.0	23.0
32.0	55.0
33.0	92.0
34.0	181.0
35.0	302.0
36.0	426.0
37.0	621.0
38.0	840.0
39.0	955.0
40.0	1473.0
41.0	1673.0
42.0	1777.0
43.0	1764.0
44.0	1809.0
45.0	1813.0
46.0	1935.0
47.0	1880.0
48.0	1867.0
49.0	1860.0
50.0	1936.0
51.0	1856.0
52.0	1953.0
53.0	1955.0
54.0	2048.0
55.0	2056.0
56.0	2180.0
57.0	2251.0
58.0	2247.0
59.0	2350.0
60.0	2475.0
61.0	2435.0
62.0	2566.0
63.0	2558.0
64.0	2641.0
65.0	2687.0
66.0	2771.0
67.0	2742.0
68.0	2883.0
69.0	2929.0
70.0	2903.0
71.0	3079.0
72.0	3174.0
73.0	3056.0
74.0	3267.0
75.0	3295.0
76.0	3445.0
77.0	3384.0
78.0	3442.0
79.0	3594.0
80.0	3497.0
81.0	3630.0
82.0	3683.0
83.0	3670.0
84.0	3732.0
85.0	3735.0
86.0	3982.0
87.0	3913.0
88.0	4007.0
89.0	3985.0
90.0	4085.0
91.0	4274.0
92.0	4271.0
93.0	4179.0
94.0	4463.0
95.0	4390.0
96.0	4417.0
97.0	4375.0
98.0	4781.0
99.0	4825.0
100.0	5041.0
101.0	5056.0
102.0	5279.0
103.0	5172.0
104.0	5363.0
105.0	5169.0
106.0	5640.0
107.0	5610.0
108.0	5681.0
109.0	5544.0
110.0	5622.0
111.0	5850.0
112.0	5946.0
113.0	6231.0
114.0	6364.0
115.0	6201.0
116.0	6393.0
117.0	6585.0
118.0	6576.0
119.0	7083.0
120.0	7206.0
121.0	7251.0
122.0	7475.0
123.0	7614.0
124.0	7770.0
125.0	8047.0
126.0	8462.0
127.0	8464.0
128.0	8997.0
129.0	9353.0
130.0	9639.0
131.0	9955.0
132.0	10080.0
133.0	10817.0
134.0	10775.0
135.0	11388.0
136.0	11438.0
137.0	12460.0
138.0	12609.0
139.0	13018.0
140.0	13209.0
141.0	13092.0
142.0	13700.0
143.0	14317.0
144.0	14881.0
145.0	15185.0
146.0	15695.0
147.0	16424.0
148.0	16163.0
149.0	13738.0
150.0	16302.0
151.0	27849.0
152.0	21672.0
153.0	16879.0
154.0	16080.0
155.0	15550.0
156.0	15310.0
157.0	14899.0
158.0	14830.0
159.0	14450.0
160.0	14129.0
161.0	13948.0
162.0	13788.0
163.0	13686.0
164.0	13790.0
165.0	13668.0
166.0	13266.0
167.0	13086.0
168.0	13056.0
169.0	12663.0
170.0	12645.0
171.0	12673.0
172.0	12546.0
173.0	12318.0
174.0	12233.0
175.0	12193.0
176.0	12175.0
177.0	11700.0
178.0	11488.0
179.0	11729.0
180.0	12043.0
181.0	11724.0
182.0	11560.0
183.0	11416.0
184.0	11293.0
185.0	11177.0
186.0	11193.0
187.0	11055.0
188.0	11113.0
189.0	10874.0
190.0	10864.0
191.0	11158.0
192.0	10883.0
193.0	10624.0
194.0	10745.0
195.0	10786.0
196.0	10569.0
197.0	10554.0
198.0	10514.0
199.0	10191.0
200.0	10417.0
201.0	10330.0
202.0	10275.0
203.0	10204.0
204.0	10360.0
205.0	10004.0
206.0	10043.0
207.0	10074.0
208.0	9955.0
209.0	9995.0
210.0	10031.0
211.0	9861.0
212.0	9759.0
213.0	9670.0
214.0	9756.0
215.0	9751.0
216.0	9563.0
217.0	9540.0
218.0	9593.0
219.0	9573.0
220.0	9538.0
221.0	9574.0
222.0	9496.0
223.0	9445.0
224.0	9334.0
225.0	9346.0
226.0	9260.0
227.0	9277.0
228.0	9220.0
229.0	9054.0
230.0	9168.0
231.0	9156.0
232.0	9304.0
233.0	9241.0
234.0	9107.0
235.0	8973.0
236.0	8965.0
237.0	8927.0
238.0	8936.0
239.0	8865.0
240.0	8737.0
241.0	8801.0
242.0	8902.0
243.0	8760.0
244.0	8678.0
245.0	8538.0
246.0	8494.0
247.0	8548.0
248.0	8661.0
249.0	8555.0
250.0	8423.0
251.0	8424.0
252.0	8308.0
253.0	8301.0
254.0	8232.0
255.0	8395.0
256.0	8532.0
257.0	8497.0
258.0	8543.0
259.0	8342.0
260.0	8223.0
261.0	8060.0
262.0	8131.0
263.0	8246.0
264.0	8210.0
265.0	8254.0
266.0	7977.0
267.0	8048.0
268.0	8048.0
269.0	8126.0
270.0	7990.0
271.0	8035.0
272.0	8160.0
273.0	7892.0
274.0	7838.0
275.0	7837.0
276.0	7759.0
277.0	7824.0
278.0	7938.0
