#Mapping quality	mapping quality
0.0	4193997.0
1.0	2132641.0
2.0	1.0654064E7
3.0	3255817.0
4.0	5258864.0
5.0	4523738.0
6.0	2.4172635E7
7.0	2132430.0
8.0	1978125.0
9.0	1205220.0
10.0	1131871.0
11.0	1278112.0
12.0	1502715.0
13.0	886008.0
14.0	1014340.0
15.0	1248901.0
16.0	946539.0
17.0	1299179.0
18.0	1319556.0
19.0	847828.0
20.0	774464.0
21.0	1173927.0
22.0	1119491.0
23.0	2134327.0
24.0	1833937.0
25.0	953003.0
26.0	834844.0
27.0	736937.0
28.0	765996.0
29.0	875504.0
30.0	1054818.0
31.0	954963.0
32.0	1348632.0
33.0	1333080.0
34.0	1374934.0
35.0	1551282.0
36.0	2133713.0
37.0	2422738.0
38.0	2127900.0
39.0	1627837.0
40.0	3594761.0
41.0	9884348.0
42.0	3.6790581E7
