#Coverage (X)	Coverage
1.0	66.66868477057152
2.0	60.714389090312025
3.0	50.45040415071796
4.0	42.28361696686042
5.0	34.29337276802579
6.0	28.996926709988657
7.0	22.959627270912463
8.0	19.014771095117496
9.0	15.052194564431645
10.0	12.255443978360603
11.0	9.688405034673437
12.0	7.839575626132145
13.0	6.209643667445405
14.0	5.030926807576748
15.0	4.017094237317579
16.0	3.2728528027995196
17.0	2.6467807856215444
18.0	2.1855744437203555
19.0	1.7998083184190676
20.0	1.5082635366477035
21.0	1.2661454415113411
22.0	1.0785171315076383
23.0	0.9238364353294344
24.0	0.8021506235848079
25.0	0.7002474388552002
26.0	0.6180752018747739
27.0	0.5485927963698316
28.0	0.4924358038323078
29.0	0.4441974953856942
30.0	0.40381517011979895
31.0	0.3690511893022972
32.0	0.33970128512423514
33.0	0.3134680570482544
34.0	0.2912677711095739
35.0	0.27141827945206387
36.0	0.25402685941423897
37.0	0.23882556257522936
38.0	0.22534658136294183
39.0	0.2133146195935609
40.0	0.20253300214648107
41.0	0.19280554375193049
42.0	0.1839167100311272
43.0	0.17568574601644116
44.0	0.16855645658777973
45.0	0.16186876771016045
46.0	0.1556246387870317
47.0	0.1499088140173228
48.0	0.14468651398991028
49.0	0.13982082538919371
50.0	0.13524414879637447
51.0	0.13103584005089886
