#Insert size (bp)	insert size
29.0	13.0
30.0	11.0
31.0	52.0
32.0	103.0
33.0	187.0
34.0	271.0
35.0	424.0
36.0	626.0
37.0	884.0
38.0	1121.0
39.0	1338.0
40.0	2552.0
41.0	2704.0
42.0	2752.0
43.0	2701.0
44.0	2793.0
45.0	2711.0
46.0	2751.0
47.0	2826.0
48.0	2837.0
49.0	2693.0
50.0	2726.0
51.0	2845.0
52.0	2805.0
53.0	2959.0
54.0	2923.0
55.0	3049.0
56.0	3219.0
57.0	3306.0
58.0	3420.0
59.0	3390.0
60.0	3559.0
61.0	3562.0
62.0	3795.0
63.0	3905.0
64.0	3964.0
65.0	4082.0
66.0	4226.0
67.0	4252.0
68.0	4361.0
69.0	4423.0
70.0	4622.0
71.0	4897.0
72.0	4907.0
73.0	5063.0
74.0	5094.0
75.0	5267.0
76.0	5289.0
77.0	5329.0
78.0	5472.0
79.0	5429.0
80.0	5723.0
81.0	5936.0
82.0	6070.0
83.0	6016.0
84.0	6033.0
85.0	6250.0
86.0	6376.0
87.0	6469.0
88.0	6576.0
89.0	6606.0
90.0	6491.0
91.0	6534.0
92.0	6949.0
93.0	7048.0
94.0	7083.0
95.0	7083.0
96.0	7095.0
97.0	7250.0
98.0	7293.0
99.0	7502.0
100.0	7533.0
101.0	7342.0
102.0	7759.0
103.0	7952.0
104.0	7911.0
105.0	8125.0
106.0	8072.0
107.0	8026.0
108.0	8134.0
109.0	8322.0
110.0	8611.0
111.0	8700.0
112.0	8721.0
113.0	8854.0
114.0	8951.0
115.0	9280.0
116.0	9218.0
117.0	9374.0
118.0	9483.0
119.0	9975.0
120.0	10093.0
121.0	10205.0
122.0	10249.0
123.0	10497.0
124.0	10889.0
125.0	10870.0
126.0	11226.0
127.0	11821.0
128.0	11478.0
129.0	11918.0
130.0	12284.0
131.0	12424.0
132.0	12655.0
133.0	12609.0
134.0	13039.0
135.0	13599.0
136.0	13453.0
137.0	14099.0
138.0	14285.0
139.0	14751.0
140.0	14773.0
141.0	15019.0
142.0	15249.0
143.0	15896.0
144.0	16222.0
145.0	16843.0
146.0	16859.0
147.0	17444.0
148.0	17432.0
149.0	11183.0
150.0	14480.0
151.0	35700.0
152.0	28233.0
153.0	20354.0
154.0	19520.0
155.0	19095.0
156.0	19050.0
157.0	18598.0
158.0	18837.0
159.0	18709.0
160.0	18705.0
161.0	18583.0
162.0	18873.0
163.0	18991.0
164.0	18963.0
165.0	18887.0
166.0	18757.0
167.0	18926.0
168.0	18941.0
169.0	18981.0
170.0	18956.0
171.0	18677.0
172.0	18933.0
173.0	19164.0
174.0	19055.0
175.0	19216.0
176.0	19204.0
177.0	19129.0
178.0	19253.0
179.0	19435.0
180.0	19664.0
181.0	19719.0
182.0	19802.0
183.0	19427.0
184.0	19535.0
185.0	19713.0
186.0	19684.0
187.0	19674.0
188.0	19806.0
189.0	19641.0
190.0	19768.0
191.0	19889.0
192.0	19591.0
193.0	19517.0
194.0	19511.0
195.0	19620.0
196.0	19670.0
197.0	19128.0
198.0	19542.0
199.0	19768.0
200.0	19842.0
201.0	19733.0
202.0	19648.0
203.0	19547.0
204.0	19741.0
205.0	19860.0
206.0	19544.0
207.0	19719.0
208.0	19705.0
209.0	19594.0
210.0	19890.0
211.0	19910.0
212.0	19849.0
213.0	19613.0
214.0	19761.0
215.0	19835.0
216.0	19830.0
217.0	19592.0
218.0	19615.0
219.0	19699.0
220.0	19821.0
221.0	19580.0
222.0	19765.0
223.0	19881.0
224.0	19900.0
225.0	20043.0
226.0	19839.0
227.0	19584.0
228.0	19533.0
229.0	19555.0
230.0	20069.0
231.0	19985.0
232.0	19704.0
233.0	19500.0
234.0	19719.0
235.0	19802.0
236.0	19621.0
237.0	19835.0
238.0	19731.0
239.0	19857.0
240.0	19904.0
241.0	19889.0
242.0	19577.0
243.0	19741.0
244.0	19512.0
245.0	19524.0
246.0	19809.0
247.0	19842.0
248.0	19646.0
249.0	19798.0
250.0	19587.0
251.0	19509.0
252.0	19349.0
253.0	19459.0
254.0	19318.0
255.0	19273.0
256.0	19336.0
257.0	19467.0
258.0	19730.0
259.0	19335.0
260.0	19127.0
261.0	19144.0
262.0	19081.0
263.0	19217.0
264.0	19181.0
265.0	19084.0
266.0	19094.0
267.0	19122.0
268.0	18968.0
269.0	18828.0
270.0	18924.0
271.0	18743.0
272.0	18716.0
273.0	18895.0
274.0	18767.0
275.0	18743.0
276.0	18807.0
277.0	18638.0
278.0	18784.0
279.0	18836.0
280.0	18757.0
281.0	18581.0
282.0	18308.0
283.0	18634.0
284.0	18451.0
285.0	18464.0
286.0	18318.0
287.0	18491.0
288.0	18452.0
289.0	18342.0
290.0	18368.0
291.0	18221.0
292.0	18183.0
293.0	18208.0
294.0	17807.0
295.0	17855.0
296.0	17775.0
297.0	17520.0
298.0	17513.0
299.0	17816.0
300.0	17613.0
301.0	17541.0
302.0	17337.0
303.0	17207.0
304.0	17263.0
305.0	16992.0
306.0	17128.0
307.0	17308.0
308.0	17032.0
309.0	17025.0
310.0	17089.0
311.0	16937.0
312.0	16867.0
313.0	16705.0
314.0	16560.0
315.0	16473.0
316.0	16537.0
317.0	16247.0
318.0	16140.0
319.0	16069.0
320.0	16289.0
321.0	16434.0
322.0	16135.0
323.0	16138.0
324.0	16108.0
325.0	15903.0
326.0	15689.0
327.0	15586.0
328.0	15737.0
329.0	15742.0
330.0	15795.0
