#Mapping quality	mapping quality
0.0	4168191.0
1.0	2277575.0
2.0	1.1780088E7
3.0	5117228.0
4.0	9055817.0
5.0	8783801.0
6.0	3.8396357E7
7.0	4234113.0
8.0	3963912.0
9.0	2871308.0
10.0	2473927.0
11.0	2607597.0
12.0	3090758.0
13.0	2054011.0
14.0	2243255.0
15.0	2465073.0
16.0	2084618.0
17.0	2479773.0
18.0	2598211.0
19.0	1721824.0
20.0	1632385.0
21.0	2395740.0
22.0	2255780.0
23.0	3582919.0
24.0	3455944.0
25.0	2071473.0
26.0	1902332.0
27.0	1787590.0
28.0	1927349.0
29.0	1969912.0
30.0	2406183.0
31.0	2159759.0
32.0	3010273.0
33.0	2871745.0
34.0	3010430.0
35.0	3179115.0
36.0	4077744.0
37.0	4240697.0
38.0	4686139.0
39.0	4674195.0
40.0	8001399.0
41.0	2.0546167E7
42.0	7.1887222E7
