#Duplication rate	Coverage
1.0	3620500.0
2.0	2164930.0
3.0	723450.0
4.0	269180.0
5.0	83153.0
6.0	25349.0
7.0	9725.0
8.0	4597.0
9.0	2502.0
10.0	1608.0
11.0	1064.0
12.0	848.0
13.0	612.0
14.0	525.0
15.0	404.0
16.0	324.0
17.0	267.0
18.0	239.0
19.0	225.0
20.0	179.0
21.0	161.0
22.0	149.0
23.0	146.0
24.0	122.0
25.0	84.0
26.0	96.0
27.0	86.0
28.0	80.0
29.0	74.0
30.0	60.0
31.0	65.0
32.0	47.0
33.0	54.0
34.0	51.0
35.0	43.0
36.0	27.0
37.0	40.0
38.0	52.0
39.0	37.0
40.0	29.0
41.0	35.0
42.0	34.0
43.0	25.0
44.0	25.0
45.0	20.0
46.0	25.0
47.0	24.0
48.0	17.0
49.0	15.0
50.0	653.0
