#GC Content (%)	Sample
1.0	1.1467909635165657E-6
2.0	0.0
3.0	1.1467909635165657E-6
4.0	2.2935819270331314E-6
5.0	6.307350299341111E-6
6.0	9.747723189890808E-6
7.0	2.408261023384788E-5
8.0	4.185787016835465E-5
9.0	1.0779835057055719E-4
10.0	2.729362493169426E-4
11.0	6.519506627591676E-4
12.0	0.001597479812178576
13.0	0.0035177812805870655
14.0	0.007698981133568463
15.0	0.014912296294087662
16.0	0.02603330166278956
17.0	0.040423234672995426
18.0	0.055963972415090164
19.0	0.06875929259052624
20.0	0.07635907630575053
21.0	0.07750242689637654
22.0	0.07400815483054157
23.0	0.06719334952984438
24.0	0.05941351963334798
25.0	0.056795969259121434
26.0	0.04041692732269608
27.0	0.03918986099173336
28.0	0.03416060922123146
29.0	0.03013307935736128
30.0	0.026340068245530236
31.0	0.023442700876205636
32.0	0.020360700161754865
33.0	0.01801780622329052
34.0	0.015833742833273223
35.0	0.01352754620564141
36.0	0.01180047901458546
37.0	0.010256324982210406
38.0	0.00863132218690743
39.0	0.007411709997207564
40.0	0.006308497090304627
41.0	0.005534986585412705
42.0	0.0046416364248333
43.0	0.0040842960165642485
44.0	0.0035573455688283863
45.0	0.0033188130484169405
46.0	0.0032024137656200095
47.0	0.0034977124387255247
48.0	0.00420757604514228
49.0	0.005406545997498849
50.0	0.0058010420889485475
51.0	0.005475353455309843
52.0	0.0035802813880987184
53.0	0.0029099820699232852
54.0	0.0022064258138058722
55.0	0.0015665164561636288
56.0	0.0011399102177354662
57.0	8.486253130022586E-4
58.0	5.842899959116901E-4
59.0	4.128447468659636E-4
60.0	2.855509499156248E-4
61.0	2.041287915059487E-4
62.0	1.3245435628616336E-4
63.0	8.543592678198413E-5
64.0	6.192671202989453E-5
65.0	4.701842950417919E-5
66.0	2.4656005715606163E-5
67.0	1.834865541626505E-5
68.0	8.600932226374243E-6
69.0	5.7339548175828285E-6
70.0	6.880745781099394E-6
71.0	1.1467909635165657E-6
72.0	1.1467909635165657E-6
73.0	2.8669774087914143E-6
74.0	5.733954817582829E-7
75.0	1.7201864452748486E-6
76.0	0.0
77.0	1.7201864452748486E-6
78.0	0.0
79.0	0.0
80.0	5.733954817582829E-7
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	3.440372890549697E-6
