#Duplication rate	Coverage
1.0	4283980.0
2.0	2513588.0
3.0	804070.0
4.0	309107.0
5.0	95275.0
6.0	28310.0
7.0	10455.0
8.0	5115.0
9.0	2615.0
10.0	1681.0
11.0	1057.0
12.0	812.0
13.0	574.0
14.0	467.0
15.0	360.0
16.0	275.0
17.0	238.0
18.0	200.0
19.0	174.0
20.0	141.0
21.0	130.0
22.0	119.0
23.0	110.0
24.0	96.0
25.0	78.0
26.0	72.0
27.0	59.0
28.0	66.0
29.0	66.0
30.0	49.0
31.0	50.0
32.0	43.0
33.0	45.0
34.0	38.0
35.0	35.0
36.0	24.0
37.0	36.0
38.0	25.0
39.0	28.0
40.0	25.0
41.0	26.0
42.0	18.0
43.0	19.0
44.0	11.0
45.0	17.0
46.0	26.0
47.0	20.0
48.0	12.0
49.0	16.0
50.0	500.0
