#Mapping quality	mapping quality
0.0	4262083.0
1.0	2372011.0
2.0	1.1820093E7
3.0	5527399.0
4.0	9813964.0
5.0	1.0003257E7
6.0	3.893599E7
7.0	4651995.0
8.0	4252922.0
9.0	3139566.0
10.0	2751052.0
11.0	2819872.0
12.0	3251056.0
13.0	2265696.0
14.0	2425927.0
15.0	2587568.0
16.0	2273016.0
17.0	2574346.0
18.0	2710708.0
19.0	1917968.0
20.0	1832406.0
21.0	2610894.0
22.0	2420719.0
23.0	3618376.0
24.0	3486609.0
25.0	2223236.0
26.0	2094483.0
27.0	1980015.0
28.0	2214144.0
29.0	2169483.0
30.0	2691267.0
31.0	2453930.0
32.0	3295660.0
33.0	3196397.0
34.0	3299744.0
35.0	3574004.0
36.0	4447636.0
37.0	4700100.0
38.0	5344460.0
39.0	5442010.0
40.0	8400305.0
41.0	2.1900386E7
42.0	7.479678E7
