#GC Content (%)	Sample
1.0	5.081853412921934E-7
2.0	0.0
3.0	1.52455602387658E-6
4.0	1.52455602387658E-6
5.0	4.065482730337547E-6
6.0	1.372100421488922E-5
7.0	2.6425637747194052E-5
8.0	5.5900387542141265E-5
9.0	1.4737374897473606E-4
10.0	3.4048417866576957E-4
11.0	9.076190195478573E-4
12.0	0.0021719841486828343
13.0	0.005052886848468279
14.0	0.010796397575752646
15.0	0.0211694767622089
16.0	0.0369552380187683
17.0	0.0581638450522567
18.0	0.07943902436545437
19.0	0.09585646000123998
20.0	0.10314637872207649
21.0	0.10090782229368438
22.0	0.09182604205945159
23.0	0.07810351328853851
24.0	0.06293062355357747
25.0	0.053881875366528685
26.0	0.03369268812767241
27.0	0.02863370305510864
28.0	0.02166292472860362
29.0	0.016762493482522997
30.0	0.012847433613207941
31.0	0.01007223346441127
32.0	0.007913462134602036
33.0	0.0063787424038996106
34.0	0.005227702605872794
35.0	0.004232167522281387
36.0	0.003598968587031313
37.0	0.0029347703459624164
38.0	0.002547533115897765
39.0	0.002231441833614021
40.0	0.0019128096246238157
41.0	0.0017263056043695809
42.0	0.001624668536111142
43.0	0.0015372606574088849
44.0	0.0014889830499861265
45.0	0.0015921446742684418
46.0	0.001750190315410314
47.0	0.0021165919464819854
48.0	0.0027924784504006024
49.0	0.0038728804859878055
50.0	0.004303313470062294
51.0	0.004201676401803855
52.0	0.002654252037569126
53.0	0.0021623286271982827
54.0	0.0016261930921350192
55.0	0.0012414967887768285
56.0	8.496858906405473E-4
57.0	5.971177760183273E-4
58.0	4.17728350542183E-4
59.0	2.952556832907644E-4
60.0	1.86504020254235E-4
61.0	1.377182274901844E-4
62.0	8.893243472613384E-5
63.0	6.606409436798513E-5
64.0	4.065482730337547E-5
65.0	2.7950193771070636E-5
66.0	1.829467228651896E-5
67.0	1.4229189556181414E-5
68.0	5.081853412921934E-6
69.0	4.065482730337547E-6
70.0	2.540926706460967E-6
71.0	1.0163706825843867E-6
72.0	1.0163706825843867E-6
73.0	0.0
74.0	1.52455602387658E-6
75.0	1.0163706825843867E-6
76.0	5.081853412921934E-7
77.0	0.0
78.0	0.0
79.0	0.0
80.0	5.081853412921934E-7
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	2.0327413651687735E-6
