#Coverage (X)	Coverage
1.0	70.67311856746525
2.0	64.71681694793062
3.0	54.74581695163879
4.0	47.07058359513861
5.0	38.999257812265206
6.0	33.32562585660526
7.0	27.03489374720904
8.0	22.59852146257299
9.0	18.252145067941257
10.0	15.0000374490983
11.0	12.05887980895345
12.0	9.851070299883304
13.0	7.916413142312578
14.0	6.462756465153291
15.0	5.2297930311043785
16.0	4.290423424977732
17.0	3.5134957120684334
18.0	2.9145210198849583
19.0	2.420167939783326
20.0	2.03412161978963
21.0	1.7174587554269891
22.0	1.4668003554573232
23.0	1.2602878049173825
24.0	1.0960790196449892
25.0	0.9586121725675554
26.0	0.8453757983215553
27.0	0.7503807353569272
28.0	0.6709815440997176
29.0	0.6034308654645031
30.0	0.5458917587231298
31.0	0.49600338765178265
32.0	0.45315882703387445
33.0	0.41605972716274664
34.0	0.38336806041202465
35.0	0.35470051848309936
36.0	0.32918835087427567
37.0	0.3070125574786289
38.0	0.28712216327423334
39.0	0.2695250058748542
40.0	0.2535930964769051
41.0	0.23924756909178768
42.0	0.22621655649173533
43.0	0.21434624550643377
44.0	0.20357613955458476
45.0	0.19349525376394183
46.0	0.1844817529990621
47.0	0.1760492153551354
48.0	0.16829806025863547
49.0	0.16126747577843048
50.0	0.15462289377657612
51.0	0.1484255456106638
