#Duplication rate	Coverage
1.0	631153.0
2.0	325004.0
3.0	142520.0
4.0	83372.0
5.0	49419.0
6.0	26087.0
7.0	14830.0
8.0	9211.0
9.0	6283.0
10.0	4501.0
11.0	3475.0
12.0	2720.0
13.0	2178.0
14.0	1817.0
15.0	1524.0
16.0	1293.0
17.0	1125.0
18.0	984.0
19.0	893.0
20.0	769.0
21.0	718.0
22.0	631.0
23.0	618.0
24.0	572.0
25.0	467.0
26.0	452.0
27.0	443.0
28.0	410.0
29.0	393.0
30.0	333.0
31.0	324.0
32.0	269.0
33.0	277.0
34.0	272.0
35.0	249.0
36.0	221.0
37.0	226.0
38.0	197.0
39.0	195.0
40.0	182.0
41.0	168.0
42.0	171.0
43.0	153.0
44.0	135.0
45.0	159.0
46.0	125.0
47.0	133.0
48.0	123.0
49.0	117.0
50.0	3599.0
