#Mapping quality	mapping quality
0.0	2701985.0
1.0	1419588.0
2.0	6422007.0
3.0	1375654.0
4.0	1938520.0
5.0	1479966.0
6.0	1.1053979E7
7.0	805682.0
8.0	760655.0
9.0	394038.0
10.0	384295.0
11.0	486287.0
12.0	557153.0
13.0	295590.0
14.0	349557.0
15.0	478865.0
16.0	344543.0
17.0	485582.0
18.0	511004.0
19.0	327374.0
20.0	281123.0
21.0	435184.0
22.0	439006.0
23.0	916811.0
24.0	707185.0
25.0	322221.0
26.0	281825.0
27.0	256042.0
28.0	247578.0
29.0	291350.0
30.0	344139.0
31.0	320698.0
32.0	453339.0
33.0	485964.0
34.0	504420.0
35.0	548133.0
36.0	780240.0
37.0	967561.0
38.0	806974.0
39.0	423020.0
40.0	1236384.0
41.0	3649228.0
42.0	1.3737114E7
