#Coverage (X)	Coverage
1.0	14.942377104268871
2.0	12.632081732870148
3.0	10.096471865339879
4.0	7.638765674388679
5.0	5.080995688690322
6.0	3.770889316449228
7.0	2.514051531144716
8.0	2.1319005051964126
9.0	1.3897730220683115
10.0	1.2097467075739843
11.0	0.8172044753146963
12.0	0.7200846842411863
13.0	0.5324132673617328
14.0	0.4771590699607344
15.0	0.38903245084136984
16.0	0.3571745102558026
17.0	0.3125868153495901
18.0	0.29439179497455825
19.0	0.26932612642539766
20.0	0.2578469613524845
21.0	0.241676249659875
22.0	0.23426162210478196
23.0	0.2242375590139858
24.0	0.21865178964783638
25.0	0.21180293983699983
26.0	0.20736293163434993
27.0	0.20261995067427563
28.0	0.19908151298099597
29.0	0.19505714323376822
30.0	0.19195957131525176
31.0	0.18875472205820643
32.0	0.18605490903868827
33.0	0.18325516644355844
34.0	0.18081277005141771
35.0	0.17825256452724147
36.0	0.17598920862472767
37.0	0.17361931015999232
38.0	0.17154846564579884
39.0	0.16935515841639415
40.0	0.16738889706098803
41.0	0.1653391161338078
42.0	0.163420125386466
43.0	0.1614435771629843
44.0	0.1597714712495133
45.0	0.15793330589421828
46.0	0.1563432499999351
47.0	0.15467236871360512
48.0	0.15309602864341798
49.0	0.15153266962104794
50.0	0.14996220776119173
51.0	0.1484517526317859
